@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1                                      numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE r3                                      numeric
@ATTRIBUTE r3_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r5                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r1_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g3dashbkg                               numeric
@ATTRIBUTE g6dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r3dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
3138,2405,1542,0,3044,1940,2076,1504,1695,1753,3561,2767,4806,1897,1142,10802,1,1.14,0.08,0.63,1,2.78,12.5,572,794,755,460,1104,572,851,2196,9822,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
3365,2587,1591,0,1822,1445,1913,1554,1359,1421,3344,2563,2808,1612,1234,1257,1.33,2.04,0.85,0.46,0.75,1.35,1.18,477,781,378,358,377,359,466,1062,445,20/01/01/01@20/01/01/07@20/01/25@20/03
3832,2368,2255,0,9515,2308,3158,1379,3455,2090,4860,2788,4761,3238,1180,2845,1.11,0.99,1.1,0.76,0.9,0.98,0.91,1969,2072,2058,1115,7207,1779,1150,2033,1873,11/02/01@11/02/02@11/02/03/01
16798,2440,18204,0,16170,2365,21972,1679,16098,7837,20703,2941,9027,24345,1312,5551,1.03,1.56,5.04,1.18,0.97,0.34,0.2,20935,17762,23033,16973,13805,20293,6782,6118,4566,12/04/02@16/01@16/19/05@18/02/01/01/01
24368,2809,24749,0,24664,2104,22777,1548,29470,14863,21761,2796,22019,27819,1250,24951,0.97,1.01,1.11,1.09,1.03,1.01,0.9,20539,18965,26569,23405,22560,21229,13966,19146,23954,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
4794,1973,3848,0,6119,1546,3938,1049,2368,3127,5981,2421,6254,2557,887,2256,0.89,1.21,1.18,1.01,1.12,1.15,0.85,2580,3560,1670,2845,4573,2889,1947,4086,1410,10/03/02@42/10@43/01/03/09
3217,2068,2213,0,2332,1380,1815,1129,1353,2545,2876,2178,2800,1523,906,1387,1.16,1.11,0.88,0.95,0.86,1.79,1.14,793,698,617,1096,952,686,1132,1244,700,10/01/05/01@32/01
3955,2508,2516,0,3363,1816,5710,2011,2295,2905,4163,2921,3746,2223,1248,1649,0.65,0.89,1.25,0.79,1.54,1.32,0.8,2403,1242,975,1148,1547,3699,1651,1632,779,20/01/17
8279,2240,7981,0,9946,2135,9670,1581,13266,7000,7818,2711,17345,8302,1198,12902,0.72,0.58,0.59,1.14,1.39,2.86,1.69,5848,5107,7104,6864,7811,8089,6009,14673,11943,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
14045,1963,14221,0,11367,1706,11108,1147,5381,9382,15725,2510,9969,9081,1116,4443,0.98,1.56,2.47,1.1,1.02,0.58,0.4,9796,13215,7965,13228,9661,9961,7830,7715,3226,12/04/01
3905,1842,2813,0,3118,1223,2092,923,1652,4468,5188,2105,4426,2180,839,1603,0.96,1.28,1.43,0.89,1.04,0.91,0.7,1122,3083,1341,1843,1895,1169,2968,2801,940,01/07/04@01/20/19/01@14/07@14/10
3396,2409,1846,0,2657,1877,3579,1870,1486,2094,3656,2672,3173,1796,1074,1238,0.72,1.42,1.67,0.63,1.39,1.25,0.6,1232,984,722,621,780,1709,1019,1231,432,16/01@20/09/07/03
4899,1772,4114,0,3324,1200,2073,975,1469,3689,5584,2150,3178,2509,852,1933,1.53,2.21,1.32,1.02,0.65,0.46,0.76,1682,3434,1657,3186,2124,1098,1928,1566,1258,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
2842,1778,1868,0,1909,1115,1460,829,1074,2090,3325,2021,2686,1588,825,1615,0.96,1.53,0.79,0.88,1.04,0.88,1.27,608,1304,763,939,794,631,984,1158,968,10/03/01/01/11@10/03/04/09@42/04/05
5372,2639,3400,0,3306,1414,2821,1059,2747,3456,5431,2629,3469,2979,1018,1359,1.06,1.83,3.45,0.8,0.94,0.39,0.29,1868,2802,1961,2185,1892,1762,2498,1101,569,12/01@42/01
3745,2650,1997,0,2231,1343,1691,1077,1760,4328,3492,2619,5557,1602,1012,1672,1.18,1.23,0.66,0.71,0.85,3.7,1.52,727,873,590,781,888,614,3354,3248,896,01/05@02/16/09@16/17/09@16/21/07
5499,2355,5121,0,5217,1869,3493,1320,2514,2714,5508,2502,4197,4962,1059,3999,1.16,1.22,1.24,1.25,0.86,0.61,0.81,2513,3006,3903,3916,3348,2173,1816,1823,3149,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
7174,2199,6199,0,8928,1957,17252,1367,6957,5294,5760,2454,5122,7962,1041,5254,0.49,0.58,1.55,1.01,2.04,0.86,0.65,7784,3306,6921,5040,6971,15885,4268,2862,4452,01/03/01
4465,2169,3378,0,5719,1778,3876,1277,2151,2062,4233,2527,4207,3633,967,4004,1.25,1.2,0.83,1,0.8,1.08,1.2,3242,1706,2666,2287,3941,2599,970,1840,3208,01/04@10/03/01@10/03/03@14/07/03
2979,2199,1703,0,2464,1725,2257,1450,1317,1926,2981,2411,2372,1462,1100,1181,1.03,1.3,0.92,0.7,0.97,1.08,1.09,830,570,362,550,739,807,768,610,393,01/06/06/11@10/01/09/05
10112,2584,9415,0,10218,2590,12912,1837,15821,10634,11619,2940,12497,9930,1326,5814,0.71,0.76,1.78,1.09,1.41,1.14,0.56,7835,8679,8604,8197,7628,11075,9639,9808,4828,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
5090,2658,3638,0,3071,1450,4228,1400,3374,2467,5135,2449,4770,3360,1192,2343,0.92,1.21,1.39,0.96,1.09,1.15,0.72,2615,2686,2168,2345,1621,2828,1521,3083,1561,01/06/02/01@20/03
3665,2632,1881,0,1982,1502,2378,1518,1262,1578,3200,2477,2693,1524,1154,992,1.03,1.71,1.81,0.58,0.97,1.32,0.55,886,723,370,597,480,860,579,950,204,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
3826,2126,2960,0,3318,1548,3091,1201,1741,2030,3249,2218,2688,2351,963,1813,0.99,1.55,1.27,1.1,1.01,1.03,0.79,1870,1031,1388,1866,1770,1890,915,1062,1094,11/02/01@11/02/03/01
4249,2475,2854,0,4618,2537,3585,1593,3978,3648,4438,2754,13602,3484,1248,24483,0.99,0.93,0.1,0.93,1.01,6.67,10,1982,1684,2236,1643,2081,1992,2629,11079,23363,01/05@01/06/10@01/07@43/01/03/06
4378,2376,2801,0,5031,2483,2833,1397,2518,2241,4951,2825,4480,2264,1058,1960,0.92,1.09,1.07,0.83,1.09,0.9,0.93,1317,2126,1206,1651,2548,1436,1325,1919,1131,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
3674,2369,2163,0,4087,2376,3225,1535,2350,1875,4343,2861,3838,2463,1072,1425,0.96,1.32,2.14,0.81,1.04,0.83,0.47,1616,1482,1391,1059,1711,1690,919,1227,651,10/01/02@10/01/03/03@10/03/01/01@16/01@16/03/01@16/19/03
4250,2143,3407,0,4275,1629,4351,1229,2225,2454,4458,2725,4372,2305,826,1758,0.85,0.99,1.34,1.08,1.18,1.14,0.75,2666,1733,1479,2269,2646,3122,1288,1978,1101,01/03@11/04/01@11/04/03/01@16/01@16/03/03
5068,2177,4694,0,4545,1618,5880,1249,2433,2805,3657,2302,2635,3260,975,1843,0.61,1.25,2.09,1.2,1.64,0.74,0.48,2828,1355,2285,3484,2927,4631,1637,1002,1092,34/11/03/07
4378,2281,3174,0,2909,1529,2139,1191,1689,3695,3358,2141,2475,1969,959,1479,1.28,1.24,1.36,0.86,0.78,0.8,0.74,1211,1217,1010,1807,1380,948,1759,974,745,42/04/05
3829,2529,2187,0,2407,1631,3297,1451,1993,1660,4108,2596,3560,2455,1226,1675,0.86,1.42,1.45,0.71,1.16,1.16,0.69,1596,1512,1229,919,776,1846,614,1753,847,10/01/03/03@10/01/03/05
7480,2052,7975,0,6535,1704,11594,1190,5339,5166,6946,2603,6112,5736,875,3739,0.71,0.84,1.58,1.27,1.41,0.84,0.63,7387,4343,4861,6892,4831,10404,3971,3638,3074,14/04@16/02@20/01/10@20/09/07/03
3424,2301,1913,0,4401,2264,2074,1399,1956,1625,3719,2767,6469,2135,1157,5814,1,1.16,0.2,0.7,1,3.85,5,672,952,978,788,2137,675,662,3679,4917,42/01
5008,2061,4095,0,4174,1861,5482,1226,3338,3724,4968,2521,9486,3034,1050,4476,0.85,0.91,0.56,1.05,1.18,2.94,1.79,3613,2447,1984,3092,2313,4256,2491,7178,3574,14/10@16/01@20/01/10@20/01/26@20/09/07/03@20/09/07/27@20/09/16@20/09/18@42/25
3016,1965,1922,0,2909,1392,3167,994,1372,2785,3112,2189,3377,1837,850,2343,0.77,1.16,0.59,0.84,1.3,1.96,1.69,1670,923,987,881,1517,2173,1480,1803,1666,02/19@10/03/01@10/03/02@12/07@14/13/01/01@43/01/03/05@43/01/03/09
4460,2497,3030,0,3071,1820,4384,1562,2357,2078,4689,2672,4311,2721,1182,1697,0.82,1.27,1.75,0.9,1.22,1.3,0.57,2321,2017,1539,1769,1251,2822,1113,2611,880,01/05/03/03/04@01/05/25@10/03/03@18/02/01/01@32/01/03@40/01@42/01@42/04@43/01/03/05
