@RELATION 'derisi0.names'

@ATTRIBUTE r1                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1542,3561,4806,1897,10802,1,1.14,0.08,1,2.78,12.5,755,460,851,2196,9822,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
1591,3344,2808,1612,1257,1.33,2.04,0.85,0.75,1.35,1.18,378,358,466,1062,445,20/01/01/01@20/01/01/07@20/01/25@20/03
2255,4860,4761,3238,2845,1.11,0.99,1.1,0.9,0.98,0.91,2058,1115,1150,2033,1873,11/02/01@11/02/02@11/02/03/01
18204,20703,9027,24345,5551,1.03,1.56,5.04,0.97,0.34,0.2,23033,16973,6782,6118,4566,12/04/02@16/01@16/19/05@18/02/01/01/01
24749,21761,22019,27819,24951,0.97,1.01,1.11,1.03,1.01,0.9,26569,23405,13966,19146,23954,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
3848,5981,6254,2557,2256,0.89,1.21,1.18,1.12,1.15,0.85,1670,2845,1947,4086,1410,10/03/02@42/10@43/01/03/09
2213,2876,2800,1523,1387,1.16,1.11,0.88,0.86,1.79,1.14,617,1096,1132,1244,700,10/01/05/01@32/01
2516,4163,3746,2223,1649,0.65,0.89,1.25,1.54,1.32,0.8,975,1148,1651,1632,779,20/01/17
7981,7818,17345,8302,12902,0.72,0.58,0.59,1.39,2.86,1.69,7104,6864,6009,14673,11943,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
14221,15725,9969,9081,4443,0.98,1.56,2.47,1.02,0.58,0.4,7965,13228,7830,7715,3226,12/04/01
2813,5188,4426,2180,1603,0.96,1.28,1.43,1.04,0.91,0.7,1341,1843,2968,2801,940,01/07/04@01/20/19/01@14/07@14/10
1846,3656,3173,1796,1238,0.72,1.42,1.67,1.39,1.25,0.6,722,621,1019,1231,432,16/01@20/09/07/03
4114,5584,3178,2509,1933,1.53,2.21,1.32,0.65,0.46,0.76,1657,3186,1928,1566,1258,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
1868,3325,2686,1588,1615,0.96,1.53,0.79,1.04,0.88,1.27,763,939,984,1158,968,10/03/01/01/11@10/03/04/09@42/04/05
3400,5431,3469,2979,1359,1.06,1.83,3.45,0.94,0.39,0.29,1961,2185,2498,1101,569,12/01@42/01
1997,3492,5557,1602,1672,1.18,1.23,0.66,0.85,3.7,1.52,590,781,3354,3248,896,01/05@02/16/09@16/17/09@16/21/07
5121,5508,4197,4962,3999,1.16,1.22,1.24,0.86,0.61,0.81,3903,3916,1816,1823,3149,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
6199,5760,5122,7962,5254,0.49,0.58,1.55,2.04,0.86,0.65,6921,5040,4268,2862,4452,01/03/01
3378,4233,4207,3633,4004,1.25,1.2,0.83,0.8,1.08,1.2,2666,2287,970,1840,3208,01/04@10/03/01@10/03/03@14/07/03
1703,2981,2372,1462,1181,1.03,1.3,0.92,0.97,1.08,1.09,362,550,768,610,393,01/06/06/11@10/01/09/05
9415,11619,12497,9930,5814,0.71,0.76,1.78,1.41,1.14,0.56,8604,8197,9639,9808,4828,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
3638,5135,4770,3360,2343,0.92,1.21,1.39,1.09,1.15,0.72,2168,2345,1521,3083,1561,01/06/02/01@20/03
1881,3200,2693,1524,992,1.03,1.71,1.81,0.97,1.32,0.55,370,597,579,950,204,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
2960,3249,2688,2351,1813,0.99,1.55,1.27,1.01,1.03,0.79,1388,1866,915,1062,1094,11/02/01@11/02/03/01
2854,4438,13602,3484,24483,0.99,0.93,0.1,1.01,6.67,10,2236,1643,2629,11079,23363,01/05@01/06/10@01/07@43/01/03/06
2801,4951,4480,2264,1960,0.92,1.09,1.07,1.09,0.9,0.93,1206,1651,1325,1919,1131,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
2163,4343,3838,2463,1425,0.96,1.32,2.14,1.04,0.83,0.47,1391,1059,919,1227,651,10/01/02@10/01/03/03@10/03/01/01@16/01@16/03/01@16/19/03
3407,4458,4372,2305,1758,0.85,0.99,1.34,1.18,1.14,0.75,1479,2269,1288,1978,1101,01/03@11/04/01@11/04/03/01@16/01@16/03/03
4694,3657,2635,3260,1843,0.61,1.25,2.09,1.64,0.74,0.48,2285,3484,1637,1002,1092,34/11/03/07
3174,3358,2475,1969,1479,1.28,1.24,1.36,0.78,0.8,0.74,1010,1807,1759,974,745,42/04/05
2187,4108,3560,2455,1675,0.86,1.42,1.45,1.16,1.16,0.69,1229,919,614,1753,847,10/01/03/03@10/01/03/05
7975,6946,6112,5736,3739,0.71,0.84,1.58,1.41,0.84,0.63,4861,6892,3971,3638,3074,14/04@16/02@20/01/10@20/09/07/03
1913,3719,6469,2135,5814,1,1.16,0.2,1,3.85,5,978,788,662,3679,4917,42/01
4095,4968,9486,3034,4476,0.85,0.91,0.56,1.18,2.94,1.79,1984,3092,2491,7178,3574,14/10@16/01@20/01/10@20/01/26@20/09/07/03@20/09/07/27@20/09/16@20/09/18@42/25
1922,3112,3377,1837,2343,0.77,1.16,0.59,1.3,1.96,1.69,987,881,1480,1803,1666,02/19@10/03/01@10/03/02@12/07@14/13/01/01@43/01/03/05@43/01/03/09
3030,4689,4311,2721,1697,0.82,1.27,1.75,1.22,1.3,0.57,1539,1769,1113,2611,880,01/05/03/03/04@01/05/25@10/03/03@18/02/01/01@32/01/03@40/01@42/01@42/04@43/01/03/05
4155,6137,4458,4732,2740,1.08,1.35,1.92,0.93,0.54,0.52,3614,2945,1441,1804,1878,10/03/01/01/11@20/09/14@42/04/05
6049,6841,4277,4677,2564,0.96,1.74,2.08,1.04,0.49,0.48,3679,5026,1664,2132,1767,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
1850,4071,3834,3828,3885,0.72,1.16,0.89,1.39,1,1.12,2730,728,514,1371,3073,14/04
3080,4452,4497,1921,1803,0.82,1.2,1,1.22,1.16,1,1048,2056,825,2070,1053,11/04/03/01@14/10
1991,3141,6538,1581,3904,0.91,0.85,0.23,1.1,5,4.35,732,972,1450,4908,3195,14/04@14/07/05@14/07/11/01@14/13/04@16/01/01@20/01/10@20/09/07/05@20/09/13@20/09/14@30/05/02/24/04@42/04/05@42/25
1549,3283,3126,1614,1781,0.91,1.12,0.71,1.1,1.39,1.41,801,582,1021,1481,1134,99
3734,4733,3924,2484,2594,1.58,1.82,0.85,0.63,0.88,1.18,1691,2767,1637,2162,1987,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
4356,5655,4133,3236,2267,0.94,1.17,1.5,1.06,0.78,0.67,2044,3068,1722,2233,1367,16/09@30/01/05/05/01@40/01@42/04@43/01/03/05
5550,10666,6094,10364,3982,0.69,1.06,2.93,1.45,0.43,0.34,9258,4503,2402,3378,3162,12/01/01@12/04@16/01
2527,4399,4310,4486,4306,0.7,1,0.98,1.43,1.01,1.02,3336,1495,1032,1715,3409,01/01/03/02/01@20/01/07@20/03@20/09/13
15809,15682,9104,9051,5411,1.08,1.25,1.8,0.93,0.52,0.56,7977,14810,10495,6767,4426,12/01/01@12/04@16/01
3319,4525,4588,4401,3674,1.06,1.22,1.18,0.94,1.08,0.85,3273,2330,1109,2017,2782,11/02/03/01@11/02/03/04@32/01
2142,3435,3479,2251,2434,0.8,1.23,0.75,1.25,1.23,1.33,1197,971,567,989,1594,10/03/01/01/11@10/03/04/03
3117,4407,3608,2573,3075,0.89,0.84,0.74,1.12,0.8,1.35,1708,1997,3732,1864,2293,01/01/09/06@01/05@01/07/01@01/20/17@01/20/33@16/21/05@16/21/07@20/01/15
4682,6117,9903,2701,3852,0.8,0.95,0.58,1.25,2.13,1.72,1829,3631,3943,8186,3133,20/09/07
2551,3952,3643,2671,2247,0.69,1.22,1.03,1.45,1.3,0.97,1465,1338,750,1757,1423,20/01/27@32/05/05/01@32/07/05@34/11/03
14534,17815,15792,5656,4045,1.15,1.59,1.43,0.87,0.9,0.7,4786,13565,9804,14152,3352,01/04@02/13/03@02/45@16/17
3378,4253,4723,2154,1711,0.92,0.97,1.11,1.09,1.67,0.9,1151,2035,2330,3335,1035,01/03/07
