@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___15_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___120_min                               numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_10_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_20_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_90_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.15,0.197,0.478,0.508,0.787,0.864,0.189,0.063,0.102,0.511,0.259,0.355,0.39,0.69,0.62,0.728,0.538,-0.312,-0.419,-0.114,0.519,0.057,-0.325,0.463,0.262,0.234,-0.428,-0.195,-0.282,0.093,-0.298,-0.294,1.088,1.11,0.585,-0.061,0.318,-0.265,-0.129,01/04@01/05@01/06@32/01/01@32/01/03
?,0.47,0.64,0.4,0.22,0.16,-0.186,-0.15,-0.01,-0.16,-0.03,0.1,-0.149,-0.277,-0.328,1.37,0.74,0.18,0.04,0.04,0.5,0.58,0.55,0.42,0.12,0.12,-0.531,?,-0.392,-0.515,0.72,0.76,0.073,-0.28,-0.4,0.18,-0.06,0.89,0.37,01/04@01/05@16/19/03@20/01/01/01@20/01/03@20/01/13@20/01/27@20/03/22@20/03/25@20/09/16/01@32/01/01@32/05/01/03@32/07/05@34/01/01/01
-0.188,-0.27,0.03,-0.22,-0.03,-0.14,-0.246,-0.4,-0.34,-0.5,-0.57,-0.66,-0.346,-0.533,-0.445,-0.21,0.46,0.06,0.473,0.63,0.055,0.617,?,0.16,0.2,0.69,1.03,0.55,0.46,0.46,0.683,0.906,-0.315,0.322,?,-0.112,-0.202,?,0.21,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
-0.948,0.19,0.32,0.52,0.47,0.73,-0.958,-0.64,-0.05,-0.64,-0.68,-0.5,-0.395,-0.215,-1.737,0.76,0.46,0,0.51,0.92,0.356,0.635,0.787,0.1,-0.01,0,-0.25,-0.21,-0.17,0.35,0.898,0.73,0,1.09,0.136,0,0.126,0.984,-0.59,01/05@01/06/10@01/07@43/01/03/06
-0.055,0.105,-0.199,0.111,-0.102,-0.063,-0.059,-0.069,-0.295,-0.28,-0.167,-0.17,-0.273,-0.225,-0.219,-0.101,0.919,-0.3,-0.435,-0.04,0.056,0.973,0.555,0.433,0.097,0.41,-0.048,0.207,-0.196,-0.039,0.149,0.476,0.877,0.664,0.319,0.432,-0.613,0.282,-0.396,01/04@01/06/02/01@30/01/09/11@42/04/03@43/01/03/05@43/01/03/09
-0.14,0.122,1.227,0.599,0.96,0.941,0.36,0.461,0.552,0.9,0.794,0.695,0.31,0.33,0.36,0.91,0.951,0.593,0.005,0.475,0.441,0.224,0.221,0.508,0.565,0.45,-0.087,0.11,-0.074,0.355,-0.454,-0.106,0.403,0.445,-0.055,-0.301,0.072,-0.528,-0.497,10/01/03@10/03/01@14/10@14/13@16/01@18/01/07@18/02/01/02/03@40/01/03@40/20
0.032,-0.359,-0.333,-0.915,-0.766,-0.628,-0.299,-0.446,-0.295,-0.437,-0.413,-0.307,-0.424,0.073,-0.558,-0.148,-0.244,-0.011,0.143,0.432,0.354,0.98,0.436,-0.283,0.164,0.124,0.152,0.086,-0.07,-0.233,0.714,0.866,-0.311,-0.462,-0.592,-0.143,0.117,1.177,-0.042,01/03/16/01@11/04@14/04@16/03/03@20/01/10@40/20
-0.14,-0.151,0.092,-0.065,0.108,-0.037,0.316,0.282,0.201,0.251,0.128,0.424,-0.043,0.113,0.1,0.151,-0.116,-0.025,-0.043,0.08,-0.231,-0.082,0.048,0.207,0.092,-0.196,0.12,0.13,0.228,-0.2,-0.713,-0.212,-0.386,-0.315,-0.491,-0.222,-0.006,-0.32,-0.271,01/06/02/02@14/04@20/09/07/03@40/10@40/20
?,-0.123,-0.506,-0.311,-0.155,0.226,?,-0.845,0.017,-0.494,-0.64,-0.304,-1.585,?,?,-0.362,-0.321,-0.107,0.53,0.221,-0.382,0.373,-0.416,-1.399,-1.378,-1.455,-1.073,-0.711,-0.681,-0.541,0.729,0.104,-0.059,-0.038,-0.237,0.024,0.205,-0.219,-0.38,01/05/02/07@01/05/03@10/03/01@32/01@40/10@40/20@42/04/05@42/16
0.217,0.099,0.435,0.237,0.147,0.529,0.204,0.213,0.322,0.403,0.129,0.342,-0.012,0.197,0.204,-0.071,0.259,0.151,-0.137,0.605,0.326,0.514,0.326,0.505,0.337,0.147,0.232,0.342,0.058,0.122,0.667,0.264,0.201,0.672,0.48,-0.204,0.041,0.428,0.079,99
-0.32,0.079,0.11,0.263,0.524,0.522,-0.03,-0.419,0.051,0.127,-0.122,0.062,-0.18,0.05,0.11,?,0.309,0.009,0.341,0.537,0.08,0.441,-0.647,-0.425,-0.817,-0.727,-0.574,-0.426,-0.547,-0.349,0.367,-0.248,0.51,0.314,-0.034,0.047,?,?,-0.666,01/03/04@20/01/11@20/01/17@20/01/23@20/09/18/07
-0.54,0.08,0.44,0.45,0.43,0.856,0.08,-0.14,0.14,0.43,1.217,1.292,0.42,1.199,1.17,0.71,0.88,0.461,0.36,0.6,0.41,0.51,0.22,-0.155,0.36,0.43,0.54,0.59,0.456,0.156,0.65,0.43,1.796,2.356,1.588,0.19,-0.06,-0.19,-0.358,01/01/09/01/01@01/01/09/01/02@01/01/09/02/01@01/01/09/02/02@01/02@01/05/05/07@01/07@16/21/17
0.418,0.776,1.257,1.899,1.995,1.895,0.388,0.16,0.55,1.077,1.542,1.821,1.445,2.12,2.028,0.556,0.899,0.127,0.136,0.484,0.555,0.764,-0.327,0.393,0.222,?,?,?,?,0.439,0.45,0.503,2.538,1.615,0.009,0.681,-0.626,-1.161,-0.37,01/01/09/01/01@01/01/09/01/02@01/05/05/07@01/07
0.393,-0.009,0.188,-0.08,0.061,0.185,0.034,0.117,0.201,-0.174,-0.321,-0.051,0.162,0.213,0.339,-0.096,0.082,0.249,0.163,0.628,-0.127,0.723,0.164,0.039,-0.279,0.014,0.2,0.279,0.013,0.218,0.03,-0.118,-0.586,-0.64,-0.535,-0.121,0,0.178,0.03,01/01/13@11/02/03/04/01@16/03/01
0.03,0.204,0.27,-0.047,0.127,0.442,0.18,0.11,0.147,0.184,-0.185,0.073,-0.05,0.92,0.92,0.194,-0.024,-0.025,-0.051,0.374,0.051,0.25,-0.024,0.612,0.433,0.817,0.397,0.329,0.604,0.347,0.243,-0.117,-0.476,-0.409,-0.44,-0.118,0.133,-0.358,-0.114,01/06/05@01/06/06/11@02/11@02/13@16/21/01@16/21/05@16/21/07@20/01/15@20/03
0.077,-0.107,0.641,0.468,0.563,0.73,-0.107,-0.109,0.128,0.043,-0.09,-0.119,0.17,0.29,0,-0.178,0.116,0.286,0.276,0.463,-0.035,0.302,0.093,-0.517,-0.103,-0.26,0.102,-0.112,0.1,0.203,-0.034,0.492,-0.322,-0.464,-0.385,-0.126,0.053,0.805,-0.091,01/04@01/05/02@01/05/09/04@01/05/09/07@16/17/07
?,0.867,1.209,1.112,0.703,-0.011,?,0.62,1.215,1.446,1.097,0.967,?,?,?,0.952,0.537,0.914,-0.407,-0.628,-0.556,-0.836,-0.44,0.409,1.221,1.34,0.837,0.742,0.583,0.358,-0.332,-0.445,-1.001,-0.625,-0.145,-0.118,0.047,-0.463,-0.892,20/01/27@20/03/25@20/09/16@32/07
0.1,0.034,-0.053,0.053,0.328,0.483,0.31,0.196,0.55,0.427,0.428,0.322,0.26,0.13,0.45,0.224,-0.061,-0.043,-0.11,-0.259,-0.05,0.009,-0.002,0.699,0.911,0.627,0.038,0.315,-0.362,-0.316,0.398,0.159,0.557,0.688,0.462,-0.144,0.235,-0.136,-0.149,01/05@02/10@02/11@02/13@16/21/05@16/21/07@20/01/15@32/01
0.01,0.232,0.576,0.544,0.855,0.943,0.3,0.493,0.446,0.631,0.461,0.544,0.35,0.47,0.63,0.062,0.219,0.194,-0.224,0.019,-0.159,0.167,0.352,0.367,0.059,0.323,0.139,0.078,0.185,0.169,0.11,-0.005,0.603,0.421,0.391,-0.088,0.18,-0.843,-0.58,10/01/03@10/03/01@14/10@14/13@16/01@18/01/07@18/02/01/02/03@40/01/03@40/20@42/16
0.338,1.545,1.16,1.002,0.669,0.685,0.311,0.605,0.682,0.488,0.618,0.208,1.542,1.184,0.543,0.681,-0.689,-0.539,-0.546,-0.06,-0.4,0.197,0.72,0.44,0.138,0.162,?,-0.352,0,-0.371,1.129,0.38,0.111,0.46,-0.367,-0.063,0.034,0.51,-0.487,01/01/03/05/01@01/04@01/20/17/01
0.561,0.737,0.005,-0.245,-0.615,-0.542,?,-0.505,-0.58,-0.896,-0.666,-0.947,0.25,-0.544,-0.695,0.657,-0.08,-0.201,-0.338,-0.439,0.262,0.388,-0.206,-0.041,0.316,-0.417,-0.683,-0.312,-0.408,-0.064,0.027,?,0.729,0.506,-0.463,-0.142,0.134,?,0.615,01/01/03/02/01@01/01/03/03/01@01/01/03/05/02@01/01/05/03@01/02/02/09@01/02/07@16/17
-0.015,-0.089,0.329,0.293,0.466,0.079,0.1,0.127,0.134,0.514,0.409,0.351,-0.172,0.091,0.128,?,0.084,0.271,-0.195,-0.102,-0.03,0.402,0.258,-0.165,-0.38,-0.071,0.092,-0.073,0,0.028,0.28,0.038,0.385,0.416,0.603,0.846,-0.581,0.166,-0.069,01/01/03/05@01/01/13@01/04@01/06/02/01@11/02/03/04@30/01/09/11@43/01/03/09
0.063,-0.184,-0.067,-0.106,-0.136,-0.126,0.035,-0.12,-0.148,0.159,0.028,-0.008,-0.336,-0.388,-0.288,?,-0.255,0.075,-0.012,-0.678,0.063,0.414,0.092,-0.478,-0.378,-0.228,-0.344,-0.291,-0.277,-0.482,0.673,0.178,-0.106,-0.288,-0.064,-0.029,0.079,0.313,-0.148,01/01/03/05@01/01/13@01/02/07@11/02/03/01@11/02/03/04@18/02/09@20/09/16/09/03
?,0.023,-0.249,0.103,0.098,-0.248,-0.046,-0.567,-0.265,-0.781,-0.197,-0.113,0.193,-0.387,-0.28,-0.73,-0.257,-0.289,0.33,-0.098,0.043,0.112,-0.456,-0.534,?,1.142,-0.351,-0.488,-0.174,-0.554,?,?,-1.078,?,0.064,-0.053,0.161,?,0.032,01/01/03/05@01/01/13@01/02/07@11/02/03/01@11/02/03/04@16/03/01
0.146,0.42,0.61,0.4,-0.1,-0.17,0.298,0.42,0.29,0.42,0.42,0.19,1.032,0.725,0.563,-0.002,-0.139,-0.005,0.261,-0.148,0.002,0.479,0.054,0.133,0.015,0.087,-0.034,0.288,0.055,0.114,0.305,-0.224,-1.65,-1.63,-1.46,-0.124,0.134,1.37,0.74,01/01/09@01/05/11/04@01/20/15
0.102,-0.389,-0.006,-0.338,-0.446,-0.258,0.521,0.338,-0.041,0.513,0.205,0.115,0.203,0.409,0.345,0.022,-0.252,-0.174,-0.748,-0.825,-0.264,-0.268,-0.696,-0.472,-0.165,0.069,-0.032,0.209,-0.21,-0.092,-1.114,-0.319,-0.219,-0.657,-0.622,0.011,0.116,-0.04,0.375,01/01/09/04@01/01/09/05@01/01/09/06@01/20/15
