@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t0_red_bkg                              numeric
@ATTRIBUTE t0_flag                                 numeric
@ATTRIBUTE t0Point5_green                          numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red                            numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t2_red                                  numeric
@ATTRIBUTE t2_flag                                 numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_red                                  numeric
@ATTRIBUTE t5_red_bkg                              numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red                                  numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t9_flag                                 numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE t11Point5_red_bkg                       numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE gal_ndt80_flag                          numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_red                  numeric
@ATTRIBUTE ndt80_delete_early_red_bkg              numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green                  numeric
@ATTRIBUTE ndt80_delete_mid_green_red              numeric
@ATTRIBUTE ndt80_delete_mid_green_flag             numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t0Point5_correlation                    numeric
@ATTRIBUTE t2_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t11Point5_correlation                   numeric
@ATTRIBUTE ndt80_delete_mid_correlation            numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t0Point5_g/r_ratio                      numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE blast_homology_within_genome            {no,yes}
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1894,1578,575,0,2145,1052,801,0,1784,1069,0,2109,1684,1320,1056,0,1604,2103,1100,1991,837,0,2752,3806,737,1294,0,3012,1238,466,0,2678,1601,0,0.872,0.842,0.71,0.691,0.836,0.728,0.967,0.699,3.115,1.181,0.962,0.935,0.468,0.539,3.083,1.662,0.78,3.04,1.42,1.6,1.14,0.6,0.54,0.57,3.07,?,12/01@42/01
5208,5664,756,0,5914,1108,6008,0,3492,3517,0,4591,1943,2716,1173,0,1550,6001,1063,5570,834,0,4696,5532,653,1308,0,7218,6718,484,0,9524,1782,0,0.933,0.924,0.938,0.874,0.947,0.775,0.966,0.79,0.864,0.706,1.55,0.796,0.67,0.715,1.054,6.652,0.82,0.87,0.76,1.71,0.83,0.77,0.75,0.13,1.05,?,01/05@02/16/09@16/17/09@16/21/07
8258,9527,664,0,5637,1836,22504,0,4015,21303,0,7168,2018,15250,1416,0,1583,7082,1102,6807,766,0,5531,13272,750,1347,0,3898,11250,425,0,7135,1227,0,0.956,0.956,0.97,0.944,0.954,0.935,0.937,0.765,0.175,0.121,0.355,0.741,0.7,0.366,0.314,7.277,0.79,0.18,0.12,0.37,0.74,0.72,0.35,2.01,0.31,yes,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
1530,1018,607,0,2221,1151,1233,0,1818,1171,0,2428,1742,1654,1080,0,968,1816,608,1285,798,0,1299,1011,604,1354,0,828,769,463,0,1128,681,0,0.847,0.566,0.779,0.892,0.897,0.769,0.913,0.831,0.805,0.704,1.153,0.765,0.504,0.62,0.71,0.848,1,1.31,1.1,1.19,1.03,1.11,0.98,0.98,0.8,?,11/02/01@11/02/02@11/02/03/01
6897,7621,705,0,12021,1244,3263,0,6281,2750,0,9145,1946,3650,1199,0,1420,3469,908,6881,838,0,10643,5495,660,1499,0,9608,2418,446,0,10158,1554,0,0.952,0.955,0.944,0.957,0.94,0.96,0.977,0.773,3.907,2.372,2.915,4.505,1.661,1.782,4.557,8.76,0.82,3.87,2.43,2.93,4.07,1.96,1.99,1.41,4.55,?,12/04/02@16/01@16/19/05@18/02/01/01/01
9570,13796,857,0,11039,1308,8848,0,9246,4087,0,13330,1937,5819,1145,0,1439,4843,1022,8868,878,0,14105,3688,677,1471,0,5349,5797,473,0,4697,4422,0,0.98,0.936,0.968,0.945,0.94,0.933,0.99,0.628,1.204,2.392,2.35,3.422,2.82,3.77,0.854,0.942,0.63,1.17,2.4,2.43,3.62,3.34,4.29,1.03,0.88,yes,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
2067,1572,634,0,4709,1406,3768,0,2600,2019,0,3875,1613,3181,983,0,1305,4118,821,2160,884,0,2483,2479,666,1009,0,1120,1050,331,0,2141,1482,0,0.937,0.958,0.918,0.943,0.938,0.932,0.975,0.945,1.018,0.869,0.931,0.865,0.93,0.762,0.945,1.116,0.94,1.08,0.96,1.02,0.91,1.1,0.82,0.33,0.96,?,10/03/02@42/10@43/01/03/09
3010,2236,753,0,3838,1120,2546,0,2646,1570,0,4323,1929,2081,1135,0,1717,2069,1085,2790,1540,0,1920,994,759,1378,0,3587,1791,461,0,4820,2284,0,0.952,0.936,0.861,0.926,0.803,0.613,0.983,1.036,1.179,1.318,2.602,2.305,0.966,1.915,2.259,2.157,1.1,1.27,1.52,2.53,3,2.49,3.18,1.97,2.18,?,10/01/05/01@32/01
1739,1027,678,0,2175,1147,1860,0,1531,1148,0,2113,1572,1415,857,0,1595,2736,1042,2267,1646,0,1383,1164,715,2055,0,1675,1370,478,0,1333,799,0,0.722,0.924,0.79,0.88,0.862,0.867,0.916,1.141,0.563,0.562,0.786,0.489,0.687,0.456,1.116,1.073,1.38,0.71,0.81,0.96,0.6,0.93,0.61,0.61,1.14,?,20/01/17
2428,2296,548,0,5933,1165,4596,1,2471,1751,0,3148,1676,3253,1030,0,1327,4729,972,1855,826,0,2296,4695,728,1601,0,2547,2373,444,0,2794,2687,0,0.924,0.9,0.944,0.916,0.928,0.975,0.984,0.733,1.082,0.924,0.599,0.486,0.306,0.321,1.03,0.84,0.8,1.16,1.09,0.66,0.53,0.36,0.33,0.94,1.03,?,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
9575,9427,1066,0,13829,1798,4883,0,6818,3386,0,11598,1772,7099,1092,0,1486,4434,947,10706,1275,0,18770,8916,1550,1136,0,9837,3353,364,0,19035,8125,0,0.964,0.932,0.944,0.953,0.961,0.891,0.968,0.919,2.847,2.097,1.606,2.315,2.759,1.989,3.017,2.288,0.96,3.08,2.18,1.63,2.35,2.84,2.22,3.26,3.12,?,12/04/01
4266,3671,938,0,6812,1395,2968,0,3180,2154,0,5273,1910,3410,1165,0,1687,3131,1188,3562,1467,0,2061,1659,808,1230,0,6395,2216,446,0,9052,3628,0,0.939,0.961,0.895,0.947,0.954,0.92,0.975,0.941,2.153,1.155,1.382,1.055,1.342,0.952,3.241,2.473,0.99,2.25,1.29,1.49,1.16,1.29,1.11,1.04,3.25,?,01/07/04@01/20/19/01@14/07@14/10
3072,2444,734,0,5140,1208,5291,0,2022,1576,0,2799,1636,1641,831,0,1472,1760,933,2247,1348,0,1464,962,724,1501,0,2983,2471,475,0,1952,1009,0,0.959,0.952,0.8,0.937,0.936,0.738,0.925,1.003,0.746,0.658,1.53,1.677,0.296,1.191,1.169,1.716,1,0.81,0.86,1.43,1.77,0.86,1.51,1.08,1.16,?,16/01@20/09/07/03
3072,2425,961,0,4373,1436,3480,0,3078,2482,0,5207,2246,4319,1451,0,1716,6719,1279,2878,1355,0,2318,2488,1178,1259,0,3617,3568,470,0,5444,5744,0,0.884,0.947,0.847,0.961,0.926,0.919,0.98,0.954,0.971,0.827,1.023,0.533,0.464,0.579,0.94,0.83,1.01,1.02,0.97,1.03,0.56,0.52,0.61,0.83,0.96,?,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
2146,1471,910,0,2613,1525,1584,0,1902,1615,0,2672,1957,2362,1188,0,1900,2447,1301,2229,1319,0,1562,1217,940,1147,0,1679,2548,413,0,2801,3374,0,0.771,0.94,0.79,0.792,0.907,0.644,0.983,0.931,1.053,0.448,0.452,0.829,0.637,0.636,0.483,0.615,1.13,1.25,0.69,0.6,0.94,0.8,1.07,1.15,0.5,?,10/03/01/01/11@10/03/04/09@42/04/05
12911,17750,871,0,4880,1307,20118,0,5821,17588,0,7600,1646,20099,1005,0,1569,29606,1161,12304,986,0,18776,17168,1015,1489,0,3934,22195,575,0,5073,16721,0,0.96,0.971,0.968,0.948,0.961,0.95,0.984,0.651,0.186,0.256,0.29,0.362,0.839,1.014,0.145,0.248,0.68,0.18,0.26,0.31,0.36,0.94,1.08,0.51,0.15,?,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
2058,1374,816,0,2177,1502,7214,0,1787,1482,0,2362,1688,2980,1023,0,1595,13611,1331,2374,2056,0,1518,3258,775,1881,0,1788,1589,489,0,1666,1504,0,0.866,0.903,0.795,0.887,0.942,0.905,0.945,0.923,0.075,0.491,0.263,0.089,-0.061,0.099,0.99,0.506,1.09,0.1,0.66,0.34,0.09,0.3,0.13,0.09,1,?,20/01/01/01@20/01/01/07@20/01/25@20/03
6696,6814,734,0,9802,1727,3416,0,5980,2397,0,8634,1606,3709,980,0,1704,3928,1111,7237,946,0,15461,4618,765,1256,0,11940,3074,465,0,10776,1992,0,0.944,0.905,0.957,0.918,0.89,0.971,0.938,0.868,2.993,2.724,2.56,2.808,3.45,3.634,3.893,5.917,0.9,3.23,2.59,2.57,3.3,3.43,3.69,0.77,4.26,?,01/03/01
3596,3361,692,0,4706,1442,3778,0,4098,2250,1,5250,1892,3916,1203,0,1628,4464,1109,3549,806,0,6066,3523,1008,1337,0,4896,4530,491,0,4259,4540,0,0.93,0.949,0.938,0.913,0.934,0.941,0.956,0.802,1.051,2.467,1.18,1.104,1.239,1.766,0.92,0.757,0.89,1.05,1.75,1.23,1.11,1.32,1.89,1.08,1.04,?,01/04@10/03/01@10/03/03@14/07/03
2936,2116,634,0,3807,1154,2694,0,2034,1315,0,3324,1672,2784,1027,0,1639,3861,1129,2643,1561,0,1793,1458,807,1441,0,2669,3687,433,0,1860,1345,0,0.903,0.935,0.918,0.937,0.903,0.907,0.923,0.982,1.077,1.073,0.893,0.866,0.777,0.894,0.452,0.901,1.1,1.16,1.15,0.94,0.89,0.95,0.98,1.07,0.63,?,01/06/06/11@10/01/09/05
5945,6866,769,0,6323,1217,2633,0,4792,5349,0,4860,1705,4047,1005,0,1849,8577,1553,8509,1109,0,12784,5672,797,1627,0,3325,6107,524,0,4380,2442,0,0.891,0.915,0.92,0.931,0.965,0.955,0.941,0.648,2.426,0.698,0.971,1.061,1.58,2.17,0.428,1.629,0.78,2.4,0.75,1.03,1.13,1.63,2.37,1.33,0.46,yes,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
2123,1648,674,0,3222,1153,4768,0,2920,2862,0,2955,1305,3812,616,0,1662,8287,1214,2414,1432,0,2293,1836,629,1727,0,1963,3851,562,0,1946,3551,0,0.912,0.936,0.943,0.978,0.966,0.964,0.921,0.932,0.452,0.733,0.523,0.531,0.729,1.028,0.338,0.332,0.93,0.48,0.77,0.51,0.55,0.75,1.03,1.65,0.39,?,01/06/02/01@20/03
1535,943,638,0,2002,1113,1865,0,1593,1395,0,1873,1427,1711,653,0,1571,3306,1217,1913,1346,0,1455,1041,640,1572,0,1257,2294,516,0,1175,1671,0,0.499,0.943,0.906,0.91,0.827,0.845,0.896,0.593,0.528,0.397,0.393,0.422,0.543,0.901,0.247,0.227,1.05,0.62,0.5,0.42,0.43,0.7,0.97,1.77,0.3,?,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
2748,2103,644,0,3840,1124,3505,0,2309,1934,1,3456,1843,3634,1204,1,2078,4446,1414,2413,1376,0,1960,1596,708,1251,0,2248,3734,465,0,1922,3097,0,0.934,0.937,0.943,0.891,0.888,0.859,0.963,0.905,0.846,0.772,0.603,0.608,0.738,0.851,0.483,0.344,1.02,0.88,0.88,0.66,0.71,0.9,0.98,1.89,0.49,?,11/02/01@11/02/03/01
