@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red                            numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t2_red                                  numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green                  numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1894,1578,1052,801,0,1784,1069,2109,1684,0,1604,1100,1991,837,2752,3806,1294,3012,0,2678,0.872,0.691,0.836,0.699,3.115,1.181,0.962,0.935,0.468,0.539,3.083,1.662,0.78,1.42,1.6,1.14,0.6,0.54,0.57,3.07,12/01@42/01
5208,5664,1108,6008,0,3492,3517,4591,1943,0,1550,1063,5570,834,4696,5532,1308,7218,0,9524,0.933,0.874,0.947,0.79,0.864,0.706,1.55,0.796,0.67,0.715,1.054,6.652,0.82,0.76,1.71,0.83,0.77,0.75,0.13,1.05,01/05@02/16/09@16/17/09@16/21/07
8258,9527,1836,22504,0,4015,21303,7168,2018,0,1583,1102,6807,766,5531,13272,1347,3898,0,7135,0.956,0.944,0.954,0.765,0.175,0.121,0.355,0.741,0.7,0.366,0.314,7.277,0.79,0.12,0.37,0.74,0.72,0.35,2.01,0.31,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
1530,1018,1151,1233,0,1818,1171,2428,1742,0,968,608,1285,798,1299,1011,1354,828,0,1128,0.847,0.892,0.897,0.831,0.805,0.704,1.153,0.765,0.504,0.62,0.71,0.848,1,1.1,1.19,1.03,1.11,0.98,0.98,0.8,11/02/01@11/02/02@11/02/03/01
6897,7621,1244,3263,0,6281,2750,9145,1946,0,1420,908,6881,838,10643,5495,1499,9608,0,10158,0.952,0.957,0.94,0.773,3.907,2.372,2.915,4.505,1.661,1.782,4.557,8.76,0.82,2.43,2.93,4.07,1.96,1.99,1.41,4.55,12/04/02@16/01@16/19/05@18/02/01/01/01
9570,13796,1308,8848,0,9246,4087,13330,1937,0,1439,1022,8868,878,14105,3688,1471,5349,0,4697,0.98,0.945,0.94,0.628,1.204,2.392,2.35,3.422,2.82,3.77,0.854,0.942,0.63,2.4,2.43,3.62,3.34,4.29,1.03,0.88,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
2067,1572,1406,3768,0,2600,2019,3875,1613,0,1305,821,2160,884,2483,2479,1009,1120,0,2141,0.937,0.943,0.938,0.945,1.018,0.869,0.931,0.865,0.93,0.762,0.945,1.116,0.94,0.96,1.02,0.91,1.1,0.82,0.33,0.96,10/03/02@42/10@43/01/03/09
3010,2236,1120,2546,0,2646,1570,4323,1929,0,1717,1085,2790,1540,1920,994,1378,3587,0,4820,0.952,0.926,0.803,1.036,1.179,1.318,2.602,2.305,0.966,1.915,2.259,2.157,1.1,1.52,2.53,3,2.49,3.18,1.97,2.18,10/01/05/01@32/01
1739,1027,1147,1860,0,1531,1148,2113,1572,0,1595,1042,2267,1646,1383,1164,2055,1675,0,1333,0.722,0.88,0.862,1.141,0.563,0.562,0.786,0.489,0.687,0.456,1.116,1.073,1.38,0.81,0.96,0.6,0.93,0.61,0.61,1.14,20/01/17
2428,2296,1165,4596,1,2471,1751,3148,1676,0,1327,972,1855,826,2296,4695,1601,2547,0,2794,0.924,0.916,0.928,0.733,1.082,0.924,0.599,0.486,0.306,0.321,1.03,0.84,0.8,1.09,0.66,0.53,0.36,0.33,0.94,1.03,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
9575,9427,1798,4883,0,6818,3386,11598,1772,0,1486,947,10706,1275,18770,8916,1136,9837,0,19035,0.964,0.953,0.961,0.919,2.847,2.097,1.606,2.315,2.759,1.989,3.017,2.288,0.96,2.18,1.63,2.35,2.84,2.22,3.26,3.12,12/04/01
4266,3671,1395,2968,0,3180,2154,5273,1910,0,1687,1188,3562,1467,2061,1659,1230,6395,0,9052,0.939,0.947,0.954,0.941,2.153,1.155,1.382,1.055,1.342,0.952,3.241,2.473,0.99,1.29,1.49,1.16,1.29,1.11,1.04,3.25,01/07/04@01/20/19/01@14/07@14/10
3072,2444,1208,5291,0,2022,1576,2799,1636,0,1472,933,2247,1348,1464,962,1501,2983,0,1952,0.959,0.937,0.936,1.003,0.746,0.658,1.53,1.677,0.296,1.191,1.169,1.716,1,0.86,1.43,1.77,0.86,1.51,1.08,1.16,16/01@20/09/07/03
3072,2425,1436,3480,0,3078,2482,5207,2246,0,1716,1279,2878,1355,2318,2488,1259,3617,0,5444,0.884,0.961,0.926,0.954,0.971,0.827,1.023,0.533,0.464,0.579,0.94,0.83,1.01,0.97,1.03,0.56,0.52,0.61,0.83,0.96,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
2146,1471,1525,1584,0,1902,1615,2672,1957,0,1900,1301,2229,1319,1562,1217,1147,1679,0,2801,0.771,0.792,0.907,0.931,1.053,0.448,0.452,0.829,0.637,0.636,0.483,0.615,1.13,0.69,0.6,0.94,0.8,1.07,1.15,0.5,10/03/01/01/11@10/03/04/09@42/04/05
12911,17750,1307,20118,0,5821,17588,7600,1646,0,1569,1161,12304,986,18776,17168,1489,3934,0,5073,0.96,0.948,0.961,0.651,0.186,0.256,0.29,0.362,0.839,1.014,0.145,0.248,0.68,0.26,0.31,0.36,0.94,1.08,0.51,0.15,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
2058,1374,1502,7214,0,1787,1482,2362,1688,0,1595,1331,2374,2056,1518,3258,1881,1788,0,1666,0.866,0.887,0.942,0.923,0.075,0.491,0.263,0.089,-0.061,0.099,0.99,0.506,1.09,0.66,0.34,0.09,0.3,0.13,0.09,1,20/01/01/01@20/01/01/07@20/01/25@20/03
6696,6814,1727,3416,0,5980,2397,8634,1606,0,1704,1111,7237,946,15461,4618,1256,11940,0,10776,0.944,0.918,0.89,0.868,2.993,2.724,2.56,2.808,3.45,3.634,3.893,5.917,0.9,2.59,2.57,3.3,3.43,3.69,0.77,4.26,01/03/01
3596,3361,1442,3778,0,4098,2250,5250,1892,0,1628,1109,3549,806,6066,3523,1337,4896,0,4259,0.93,0.913,0.934,0.802,1.051,2.467,1.18,1.104,1.239,1.766,0.92,0.757,0.89,1.75,1.23,1.11,1.32,1.89,1.08,1.04,01/04@10/03/01@10/03/03@14/07/03
2936,2116,1154,2694,0,2034,1315,3324,1672,0,1639,1129,2643,1561,1793,1458,1441,2669,0,1860,0.903,0.937,0.903,0.982,1.077,1.073,0.893,0.866,0.777,0.894,0.452,0.901,1.1,1.15,0.94,0.89,0.95,0.98,1.07,0.63,01/06/06/11@10/01/09/05
5945,6866,1217,2633,0,4792,5349,4860,1705,0,1849,1553,8509,1109,12784,5672,1627,3325,0,4380,0.891,0.931,0.965,0.648,2.426,0.698,0.971,1.061,1.58,2.17,0.428,1.629,0.78,0.75,1.03,1.13,1.63,2.37,1.33,0.46,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
2123,1648,1153,4768,0,2920,2862,2955,1305,0,1662,1214,2414,1432,2293,1836,1727,1963,0,1946,0.912,0.978,0.966,0.932,0.452,0.733,0.523,0.531,0.729,1.028,0.338,0.332,0.93,0.77,0.51,0.55,0.75,1.03,1.65,0.39,01/06/02/01@20/03
1535,943,1113,1865,0,1593,1395,1873,1427,0,1571,1217,1913,1346,1455,1041,1572,1257,0,1175,0.499,0.91,0.827,0.593,0.528,0.397,0.393,0.422,0.543,0.901,0.247,0.227,1.05,0.5,0.42,0.43,0.7,0.97,1.77,0.3,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
2748,2103,1124,3505,0,2309,1934,3456,1843,1,2078,1414,2413,1376,1960,1596,1251,2248,0,1922,0.934,0.891,0.888,0.905,0.846,0.772,0.603,0.608,0.738,0.851,0.483,0.344,1.02,0.88,0.66,0.71,0.9,0.98,1.89,0.49,11/02/01@11/02/03/01
8832,11906,1157,13998,0,5616,12694,5549,1621,0,1886,1565,10049,952,15450,18674,1533,12382,0,13869,0.921,0.932,0.927,0.619,0.55,0.336,0.285,0.303,0.589,0.768,0.647,1.39,0.68,0.35,0.3,0.32,0.61,0.8,0.8,0.68,01/05@01/06/10@01/07@43/01/03/06
1777,1468,1152,1389,0,1765,1388,2269,1771,0,1562,1058,1941,916,2330,4675,1334,2207,0,1844,0.889,0.733,0.826,0.694,0.919,0.495,0.599,0.246,0.263,0.331,0.642,0.396,0.75,0.66,0.78,0.32,0.31,0.34,0.93,0.65,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
2409,2105,1101,2720,0,2337,2256,2843,1872,0,1559,1075,2795,834,4020,2338,1320,2454,0,2368,0.929,0.882,0.943,0.798,0.463,0.576,0.81,1.012,1.39,1.618,0.312,0.359,0.86,0.66,0.86,1.05,1.5,1.79,1.84,0.34,10/01/02@10/01/03/03@10/03/01/01@16/01@16/03/01@16/19/03
2495,2233,1410,1411,0,2136,1583,2827,1644,0,1446,999,2020,728,3141,4864,1188,1074,0,1508,0.928,0.887,0.924,0.783,1.371,0.845,1.004,0.7,0.4,0.493,1.002,0.852,0.82,0.93,1.08,0.73,0.44,0.51,0.72,1.07,01/03@11/04/01@11/04/03/01@16/01@16/03/03
2916,2564,1200,1559,0,2159,1358,3198,1869,1,1436,849,2357,1382,1965,1560,1220,2033,0,2603,0.895,0.926,0.926,0.773,2.146,1.178,0.881,1.362,0.886,1.072,1.899,0.703,0.84,1.25,1.02,1.37,1.04,1.12,1.18,2.19,34/11/03/07
2447,1711,1310,3015,0,2422,2541,3546,1847,0,1622,1164,2489,1363,2198,1952,1144,2051,0,2452,0.903,0.932,0.931,1.018,1.009,0.628,0.435,0.462,0.545,0.877,0.338,0.347,1.14,0.65,0.47,0.48,0.62,0.9,0.87,0.35,42/04/05
