@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1                                      numeric
@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE g2                                      numeric
@ATTRIBUTE g2_bkg                                  numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g3                                      numeric
@ATTRIBUTE g3_bkg                                  numeric
@ATTRIBUTE r3                                      numeric
@ATTRIBUTE r3_bkg                                  numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE g5_bkg                                  numeric
@ATTRIBUTE r5_bkg                                  numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7_bkg                                  numeric
@ATTRIBUTE f7                                      numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g2_ratio                                numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g5_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r4_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g1dashbkg                               numeric
@ATTRIBUTE g2dashbkg                               numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r3dashbkg                               numeric
@ATTRIBUTE r4dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
3138,2405,1542,1082,0,3785,2528,3044,1940,0,2419,1847,2076,1504,2114,1445,1695,1108,0,1713,902,0,3561,2767,2610,0,1897,1142,980,0,1.59,1.14,1,1.14,1.23,0.08,1,0.88,2.78,12.5,733,1257,669,755,460,1104,572,587,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
3365,2587,1591,1233,0,3324,2576,1822,1445,0,2513,2036,1913,1554,2055,1596,1359,1134,0,1687,955,0,3344,2563,1746,0,1612,1234,812,0,2.17,1.98,1.33,2.04,1.85,0.85,0.75,0.49,1.35,1.18,778,748,459,378,358,377,359,225,20/01/01/01@20/01/01/07@20/01/25@20/03
3832,2368,2255,1140,0,6530,2801,9515,2308,0,3648,1679,3158,1379,3785,1591,3455,1238,0,1747,940,0,4860,2788,2728,0,3238,1180,972,0,1.31,0.52,1.11,0.99,1.25,1.1,0.9,1.01,0.98,0.91,1464,3729,2194,2058,1115,7207,1779,2217,11/02/01@11/02/02@11/02/03/01
16798,2440,18204,1231,0,16806,2964,16170,2365,0,22926,1991,21972,1679,24822,1544,16098,1158,0,1842,1055,0,20703,2941,2909,0,24345,1312,985,0,0.85,1,1.03,1.56,1.91,5.04,0.97,0.64,0.34,0.2,14358,13842,23278,23033,16973,13805,20293,14940,12/04/02@16/01@16/19/05@18/02/01/01/01
24368,2809,24749,1344,0,24576,2804,24664,2104,0,22463,1924,22777,1548,30132,1757,29470,1373,0,1639,897,0,21761,2796,2873,0,27819,1250,997,0,0.92,0.97,0.97,1.01,1.09,1.11,1.03,0.99,1.01,0.9,21559,21772,28375,26569,23405,22560,21229,28097,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
4794,1973,3848,1003,0,5821,2235,6119,1546,0,3974,1394,3938,1049,2950,953,2368,717,0,1493,1180,0,5981,2421,2168,0,2557,887,846,0,0.99,0.78,0.89,1.21,1.2,1.18,1.12,0.83,1.15,0.85,2821,3586,1997,1670,2845,4573,2889,1651,10/03/02@42/10@43/01/03/09
3217,2068,2213,1117,0,3484,2384,2332,1380,0,2220,1427,1815,1129,1756,1209,1353,861,0,1564,1413,0,2876,2178,1556,0,1523,906,687,0,1.05,1.16,1.16,1.11,0.95,0.88,0.86,0.9,1.79,1.14,1149,1100,547,617,1096,952,686,492,10/01/05/01@32/01
3955,2508,2516,1368,0,4566,2816,3363,1816,0,4839,2436,5710,2011,2663,1725,2295,1245,0,1843,1254,0,4163,2921,2114,0,2223,1248,870,0,1.26,1.13,0.65,0.89,0.9,1.25,1.54,1.12,1.32,0.8,1447,1750,938,975,1148,1547,3699,1050,20/01/17
8279,2240,7981,1117,0,7975,2845,9946,2135,0,7718,1870,9670,1581,8589,1642,13266,1286,0,1774,991,0,7818,2711,2672,0,8302,1198,959,0,0.88,0.66,0.72,0.58,0.6,0.59,1.39,1.72,2.86,1.69,6039,5130,6947,7104,6864,7811,8089,11980,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
14045,1963,14221,993,0,10752,2351,11367,1706,0,11223,1427,11108,1147,8308,950,5381,668,0,1672,1552,0,15725,2510,2254,0,9081,1116,1217,0,0.91,0.87,0.98,1.56,1.4,2.47,1.02,0.64,0.58,0.4,12082,8401,7358,7965,13228,9661,9961,4713,12/04/01
3905,1842,2813,970,0,4186,2144,3118,1223,0,2378,1256,2092,923,2269,1104,1652,743,0,1673,1500,0,5188,2105,1625,0,2180,839,663,0,1.12,1.08,0.96,1.28,0.93,1.43,1.04,0.78,0.91,0.7,2063,2042,1165,1341,1843,1895,1169,909,01/07/04@01/20/19/01@14/07@14/10
3396,2409,1846,1225,0,4124,2981,2657,1877,0,3544,2312,3579,1870,2099,1413,1486,1002,0,1592,1075,0,3656,2672,1942,0,1796,1074,806,0,1.59,1.47,0.72,1.42,1.37,1.67,1.39,0.7,1.25,0.6,987,1143,686,722,621,780,1709,484,16/01@20/09/07/03
4899,1772,4114,928,0,4357,2074,3324,1200,0,3003,1321,2073,975,2689,1088,1469,746,0,1619,1761,0,5584,2150,1612,0,2509,852,675,0,0.98,1.07,1.53,2.21,1.55,1.32,0.65,0.45,0.46,0.76,3127,2283,1601,1657,3186,2124,1098,723,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
2842,1778,1868,929,0,2870,1998,1909,1115,0,1787,1179,1460,829,1565,1032,1074,725,0,1192,1106,0,3325,2021,1528,0,1588,825,647,0,1.13,1.1,0.96,1.53,1.15,0.79,1.04,0.65,0.88,1.27,1064,872,533,763,939,794,631,349,10/03/01/01/11@10/03/04/09@42/04/05
5372,2639,3400,1215,0,3936,2281,3306,1414,0,3197,1329,2821,1059,4484,1466,2747,1096,0,1818,958,0,5431,2629,2368,0,2979,1018,790,0,1.25,0.87,1.06,1.83,2.08,3.45,0.94,0.55,0.39,0.29,2733,1655,3018,1961,2185,1892,1762,1651,12/01@42/01
3745,2650,1997,1216,0,3019,2248,2231,1343,0,2126,1399,1691,1077,2270,1403,1760,1054,0,1756,974,0,3492,2619,2309,0,1602,1012,776,0,1.4,0.87,1.18,1.23,0.59,0.66,0.85,0.81,3.7,1.52,1095,771,867,590,781,888,614,706,01/05@02/16/09@16/17/09@16/21/07
5499,2355,5121,1205,0,5453,2785,5217,1869,0,4188,1675,3493,1320,3112,1306,2514,1036,0,1577,898,0,5508,2502,2374,0,4962,1059,850,0,0.8,0.8,1.16,1.22,1.03,1.24,0.86,0.82,0.61,0.81,3144,2668,1806,3903,3916,3348,2173,1478,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
7174,2199,6199,1159,0,7073,2755,8928,1957,0,9450,1666,17252,1367,4697,1247,6957,962,0,1600,1026,0,5760,2454,2260,0,7962,1041,802,0,0.99,0.62,0.49,0.58,0.57,1.55,2.04,1.72,0.86,0.65,4975,4318,3450,6921,5040,6971,15885,5995,01/03/01
4465,2169,3378,1091,0,5117,2646,5719,1778,0,4892,1650,3876,1277,2698,1252,2151,944,0,1576,1092,0,4233,2527,2367,0,3633,967,796,0,1,0.63,1.25,1.2,1.75,0.83,0.8,0.83,1.08,1.2,2296,2471,1446,2666,2287,3941,2599,1207,01/04@10/03/01@10/03/03@14/07/03
2979,2199,1703,1153,0,3623,2696,2464,1725,0,2640,1810,2257,1450,1754,1358,1317,1013,0,1552,1158,0,2981,2411,1762,0,1462,1100,788,0,1.42,1.25,1.03,1.3,1.13,0.92,0.97,0.77,1.08,1.09,780,927,396,362,550,739,807,304,01/06/06/11@10/01/09/05
10112,2584,9415,1218,0,9094,3027,10218,2590,0,9898,2063,12912,1837,12656,1671,15821,1368,0,1839,995,0,11619,2940,2689,0,9930,1326,986,0,0.92,0.8,0.71,0.76,0.89,1.78,1.41,1.32,1.14,0.56,7528,6067,10985,8604,8197,7628,11075,14453,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
5090,2658,3638,1293,0,4191,2465,3071,1450,0,4499,1884,4228,1400,4336,1504,3374,1039,0,1738,946,0,5135,2449,1687,0,3360,1192,782,0,1.04,1.06,0.92,1.21,1.18,1.39,1.09,0.83,1.15,0.72,2432,1726,2832,2168,2345,1621,2828,2335,01/06/02/01@20/03
3665,2632,1881,1284,0,3400,2560,1982,1502,0,2864,1978,2378,1518,1945,1498,1262,1000,0,1661,999,0,3200,2477,1743,0,1524,1154,788,0,1.73,1.75,1.03,1.71,1.7,1.81,0.97,0.58,1.32,0.55,1033,840,447,370,597,480,860,262,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
3826,2126,2960,1094,0,4192,2493,3318,1548,0,3405,1535,3091,1201,2539,1242,1741,903,0,1345,1115,0,3249,2218,1626,0,2351,963,719,0,0.91,0.96,0.99,1.55,1.42,1.27,1.01,0.65,1.03,0.79,1700,1699,1297,1388,1866,1770,1890,838,11/02/01@11/02/03/01
4249,2475,2854,1211,0,4932,2939,4618,2537,0,3915,1933,3585,1593,4156,1580,3978,1200,0,1902,1019,0,4438,2754,2523,0,3484,1248,1120,0,1.08,0.96,0.99,0.93,0.81,0.1,1.01,1.08,6.67,10,1774,1993,2576,2236,1643,2081,1992,2778,01/05@01/06/10@01/07@43/01/03/06
4378,2376,2801,1150,0,5088,2926,5031,2483,0,3140,1823,2833,1397,3034,1295,2518,928,0,1783,916,0,4951,2825,2561,0,2264,1058,829,0,1.21,0.85,0.92,1.09,1.28,1.07,1.09,0.92,0.9,0.93,2002,2162,1739,1206,1651,2548,1436,1590,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
3674,2369,2163,1104,0,4497,2970,4087,2376,0,3611,1995,3225,1535,3147,1309,2350,955,0,1813,956,0,4343,2861,2611,0,2463,1072,774,0,1.23,0.89,0.96,1.32,1.56,2.14,1.04,0.76,0.83,0.47,1305,1527,1838,1391,1059,1711,1690,1395,10/01/02@10/01/03/03@10/03/01/01@16/01@16/03/01@16/19/03
4250,2143,3407,1138,0,5141,2482,4275,1629,0,4230,1564,4351,1229,2533,1102,2225,784,0,1575,1166,0,4458,2725,2394,0,2305,826,657,0,0.93,1,0.85,0.99,1.4,1.34,1.18,1.01,1.14,0.75,2107,2659,1431,1479,2269,2646,3122,1441,01/03@11/04/01@11/04/03/01@16/01@16/03/03
5068,2177,4694,1210,0,4975,2513,4545,1618,0,4447,1619,5880,1249,3176,1182,2433,839,0,1564,1168,0,3657,2302,1633,0,3260,975,751,0,0.83,0.84,0.61,1.25,1.33,2.09,1.64,0.8,0.74,0.48,2891,2462,1994,2285,3484,2927,4631,1594,34/11/03/07
