@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE g2                                      numeric
@ATTRIBUTE g2_bkg                                  numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE g5_bkg                                  numeric
@ATTRIBUTE r5_bkg                                  numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7_bkg                                  numeric
@ATTRIBUTE f7                                      numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE g2dashbkg                               numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r4dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
3138,2405,1082,0,3785,2528,3044,1940,0,2114,1445,1695,1108,0,1713,902,0,2767,2610,0,1897,1142,980,0,1.59,0.08,1,1257,669,755,1104,587,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
3365,2587,1233,0,3324,2576,1822,1445,0,2055,1596,1359,1134,0,1687,955,0,2563,1746,0,1612,1234,812,0,2.17,0.85,0.75,748,459,378,377,225,20/01/01/01@20/01/01/07@20/01/25@20/03
3832,2368,1140,0,6530,2801,9515,2308,0,3785,1591,3455,1238,0,1747,940,0,2788,2728,0,3238,1180,972,0,1.31,1.1,0.9,3729,2194,2058,7207,2217,11/02/01@11/02/02@11/02/03/01
16798,2440,1231,0,16806,2964,16170,2365,0,24822,1544,16098,1158,0,1842,1055,0,2941,2909,0,24345,1312,985,0,0.85,5.04,0.97,13842,23278,23033,13805,14940,12/04/02@16/01@16/19/05@18/02/01/01/01
24368,2809,1344,0,24576,2804,24664,2104,0,30132,1757,29470,1373,0,1639,897,0,2796,2873,0,27819,1250,997,0,0.92,1.11,1.03,21772,28375,26569,22560,28097,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
4794,1973,1003,0,5821,2235,6119,1546,0,2950,953,2368,717,0,1493,1180,0,2421,2168,0,2557,887,846,0,0.99,1.18,1.12,3586,1997,1670,4573,1651,10/03/02@42/10@43/01/03/09
3217,2068,1117,0,3484,2384,2332,1380,0,1756,1209,1353,861,0,1564,1413,0,2178,1556,0,1523,906,687,0,1.05,0.88,0.86,1100,547,617,952,492,10/01/05/01@32/01
3955,2508,1368,0,4566,2816,3363,1816,0,2663,1725,2295,1245,0,1843,1254,0,2921,2114,0,2223,1248,870,0,1.26,1.25,1.54,1750,938,975,1547,1050,20/01/17
8279,2240,1117,0,7975,2845,9946,2135,0,8589,1642,13266,1286,0,1774,991,0,2711,2672,0,8302,1198,959,0,0.88,0.59,1.39,5130,6947,7104,7811,11980,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
14045,1963,993,0,10752,2351,11367,1706,0,8308,950,5381,668,0,1672,1552,0,2510,2254,0,9081,1116,1217,0,0.91,2.47,1.02,8401,7358,7965,9661,4713,12/04/01
3905,1842,970,0,4186,2144,3118,1223,0,2269,1104,1652,743,0,1673,1500,0,2105,1625,0,2180,839,663,0,1.12,1.43,1.04,2042,1165,1341,1895,909,01/07/04@01/20/19/01@14/07@14/10
3396,2409,1225,0,4124,2981,2657,1877,0,2099,1413,1486,1002,0,1592,1075,0,2672,1942,0,1796,1074,806,0,1.59,1.67,1.39,1143,686,722,780,484,16/01@20/09/07/03
4899,1772,928,0,4357,2074,3324,1200,0,2689,1088,1469,746,0,1619,1761,0,2150,1612,0,2509,852,675,0,0.98,1.32,0.65,2283,1601,1657,2124,723,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
2842,1778,929,0,2870,1998,1909,1115,0,1565,1032,1074,725,0,1192,1106,0,2021,1528,0,1588,825,647,0,1.13,0.79,1.04,872,533,763,794,349,10/03/01/01/11@10/03/04/09@42/04/05
5372,2639,1215,0,3936,2281,3306,1414,0,4484,1466,2747,1096,0,1818,958,0,2629,2368,0,2979,1018,790,0,1.25,3.45,0.94,1655,3018,1961,1892,1651,12/01@42/01
3745,2650,1216,0,3019,2248,2231,1343,0,2270,1403,1760,1054,0,1756,974,0,2619,2309,0,1602,1012,776,0,1.4,0.66,0.85,771,867,590,888,706,01/05@02/16/09@16/17/09@16/21/07
5499,2355,1205,0,5453,2785,5217,1869,0,3112,1306,2514,1036,0,1577,898,0,2502,2374,0,4962,1059,850,0,0.8,1.24,0.86,2668,1806,3903,3348,1478,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
7174,2199,1159,0,7073,2755,8928,1957,0,4697,1247,6957,962,0,1600,1026,0,2454,2260,0,7962,1041,802,0,0.99,1.55,2.04,4318,3450,6921,6971,5995,01/03/01
4465,2169,1091,0,5117,2646,5719,1778,0,2698,1252,2151,944,0,1576,1092,0,2527,2367,0,3633,967,796,0,1,0.83,0.8,2471,1446,2666,3941,1207,01/04@10/03/01@10/03/03@14/07/03
2979,2199,1153,0,3623,2696,2464,1725,0,1754,1358,1317,1013,0,1552,1158,0,2411,1762,0,1462,1100,788,0,1.42,0.92,0.97,927,396,362,739,304,01/06/06/11@10/01/09/05
10112,2584,1218,0,9094,3027,10218,2590,0,12656,1671,15821,1368,0,1839,995,0,2940,2689,0,9930,1326,986,0,0.92,1.78,1.41,6067,10985,8604,7628,14453,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
5090,2658,1293,0,4191,2465,3071,1450,0,4336,1504,3374,1039,0,1738,946,0,2449,1687,0,3360,1192,782,0,1.04,1.39,1.09,1726,2832,2168,1621,2335,01/06/02/01@20/03
3665,2632,1284,0,3400,2560,1982,1502,0,1945,1498,1262,1000,0,1661,999,0,2477,1743,0,1524,1154,788,0,1.73,1.81,0.97,840,447,370,480,262,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
3826,2126,1094,0,4192,2493,3318,1548,0,2539,1242,1741,903,0,1345,1115,0,2218,1626,0,2351,963,719,0,0.91,1.27,1.01,1699,1297,1388,1770,838,11/02/01@11/02/03/01
4249,2475,1211,0,4932,2939,4618,2537,0,4156,1580,3978,1200,0,1902,1019,0,2754,2523,0,3484,1248,1120,0,1.08,0.1,1.01,1993,2576,2236,2081,2778,01/05@01/06/10@01/07@43/01/03/06
4378,2376,1150,0,5088,2926,5031,2483,0,3034,1295,2518,928,0,1783,916,0,2825,2561,0,2264,1058,829,0,1.21,1.07,1.09,2162,1739,1206,2548,1590,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
3674,2369,1104,0,4497,2970,4087,2376,0,3147,1309,2350,955,0,1813,956,0,2861,2611,0,2463,1072,774,0,1.23,2.14,1.04,1527,1838,1391,1711,1395,10/01/02@10/01/03/03@10/03/01/01@16/01@16/03/01@16/19/03
4250,2143,1138,0,5141,2482,4275,1629,0,2533,1102,2225,784,0,1575,1166,0,2725,2394,0,2305,826,657,0,0.93,1.34,1.18,2659,1431,1479,2646,1441,01/03@11/04/01@11/04/03/01@16/01@16/03/03
5068,2177,1210,0,4975,2513,4545,1618,0,3176,1182,2433,839,0,1564,1168,0,2302,1633,0,3260,975,751,0,0.83,2.09,1.64,2462,1994,2285,2927,1594,34/11/03/07
4378,2281,1367,0,4089,2468,2909,1529,0,2238,1215,1689,867,0,2008,1936,0,2141,1501,0,1969,959,734,0,1.16,1.36,0.78,1621,1023,1010,1380,822,42/04/05
3829,2529,1268,0,3806,2711,2407,1631,0,2924,1554,1993,1029,0,1664,1046,0,2596,1807,0,2455,1226,828,0,1.41,1.45,1.16,1095,1370,1229,776,964,10/01/03/03@10/01/03/05
7480,2052,1083,0,6834,2519,6535,1704,0,4886,1070,5339,812,0,1657,1195,0,2603,2474,0,5736,875,665,0,0.79,1.58,1.41,4315,3816,4861,4831,4527,14/04@16/02@20/01/10@20/09/07/03
3424,2301,1125,0,5006,2972,4401,2264,0,2406,1424,1956,1107,0,1817,963,0,2767,2790,0,2135,1157,897,0,1.43,0.2,1,2034,982,978,2137,849,42/01
5008,2061,1003,0,5034,2681,4174,1861,0,3386,1092,3338,806,0,1731,1233,0,2521,2308,0,3034,1050,902,0,0.95,0.56,1.18,2353,2294,1984,2313,2532,14/10@16/01@20/01/10@20/01/26@20/09/07/03@20/09/07/27@20/09/16@20/09/18@42/25
3016,1965,1041,0,3734,2321,2909,1392,0,1782,1126,1372,807,0,1400,1305,0,2189,1574,0,1837,850,677,0,1.19,0.59,1.3,1413,656,987,1517,565,02/19@10/03/01@10/03/02@12/07@14/13/01/01@43/01/03/05@43/01/03/09
4460,2497,1261,0,4340,2872,3071,1820,0,3168,1605,2357,1130,0,1607,965,0,2672,1700,0,2721,1182,817,0,1.11,1.75,1.22,1468,1563,1539,1251,1227,01/05/03/03/04@01/05/25@10/03/03@18/02/01/01@32/01/03@40/01@42/01@42/04@43/01/03/05
5646,2612,1210,0,7184,2984,9452,2260,0,5405,1544,4016,1150,0,1723,983,0,2780,2654,0,4732,1118,862,0,1.03,1.92,0.93,4200,3861,3614,7192,2866,10/03/01/01/11@20/09/14@42/04/05
6067,1998,1023,0,5593,2563,4656,1751,0,4797,1045,2942,782,0,1654,1175,0,2459,2145,0,4677,998,797,0,0.81,2.08,1.04,3030,3752,3679,2905,2160,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
3373,2306,1122,0,5613,2934,4784,2185,0,2870,1533,2290,1142,0,1748,934,0,2696,2463,0,3828,1098,812,0,1.47,0.89,1.39,2679,1337,2730,2599,1148,14/04
3820,1957,1024,0,4413,2441,3444,1625,0,2019,1016,1579,746,0,1710,1219,0,2679,2427,0,1921,873,750,0,0.91,1,1.22,1972,1003,1048,1819,833,11/04/03/01@14/10
