@RELATION 'derisi0.names'

@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1082,0,1940,0,2114,1445,1108,0,0,2767,0,1897,1142,1.59,669,755,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
1233,0,1445,0,2055,1596,1134,0,0,2563,0,1612,1234,2.17,459,378,20/01/01/01@20/01/01/07@20/01/25@20/03
1140,0,2308,0,3785,1591,1238,0,0,2788,0,3238,1180,1.31,2194,2058,11/02/01@11/02/02@11/02/03/01
1231,0,2365,0,24822,1544,1158,0,0,2941,0,24345,1312,0.85,23278,23033,12/04/02@16/01@16/19/05@18/02/01/01/01
1344,0,2104,0,30132,1757,1373,0,0,2796,0,27819,1250,0.92,28375,26569,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
1003,0,1546,0,2950,953,717,0,0,2421,0,2557,887,0.99,1997,1670,10/03/02@42/10@43/01/03/09
1117,0,1380,0,1756,1209,861,0,0,2178,0,1523,906,1.05,547,617,10/01/05/01@32/01
1368,0,1816,0,2663,1725,1245,0,0,2921,0,2223,1248,1.26,938,975,20/01/17
1117,0,2135,0,8589,1642,1286,0,0,2711,0,8302,1198,0.88,6947,7104,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
993,0,1706,0,8308,950,668,0,0,2510,0,9081,1116,0.91,7358,7965,12/04/01
970,0,1223,0,2269,1104,743,0,0,2105,0,2180,839,1.12,1165,1341,01/07/04@01/20/19/01@14/07@14/10
1225,0,1877,0,2099,1413,1002,0,0,2672,0,1796,1074,1.59,686,722,16/01@20/09/07/03
928,0,1200,0,2689,1088,746,0,0,2150,0,2509,852,0.98,1601,1657,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
929,0,1115,0,1565,1032,725,0,0,2021,0,1588,825,1.13,533,763,10/03/01/01/11@10/03/04/09@42/04/05
1215,0,1414,0,4484,1466,1096,0,0,2629,0,2979,1018,1.25,3018,1961,12/01@42/01
1216,0,1343,0,2270,1403,1054,0,0,2619,0,1602,1012,1.4,867,590,01/05@02/16/09@16/17/09@16/21/07
1205,0,1869,0,3112,1306,1036,0,0,2502,0,4962,1059,0.8,1806,3903,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
1159,0,1957,0,4697,1247,962,0,0,2454,0,7962,1041,0.99,3450,6921,01/03/01
1091,0,1778,0,2698,1252,944,0,0,2527,0,3633,967,1,1446,2666,01/04@10/03/01@10/03/03@14/07/03
1153,0,1725,0,1754,1358,1013,0,0,2411,0,1462,1100,1.42,396,362,01/06/06/11@10/01/09/05
1218,0,2590,0,12656,1671,1368,0,0,2940,0,9930,1326,0.92,10985,8604,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
1293,0,1450,0,4336,1504,1039,0,0,2449,0,3360,1192,1.04,2832,2168,01/06/02/01@20/03
1284,0,1502,0,1945,1498,1000,0,0,2477,0,1524,1154,1.73,447,370,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
1094,0,1548,0,2539,1242,903,0,0,2218,0,2351,963,0.91,1297,1388,11/02/01@11/02/03/01
1211,0,2537,0,4156,1580,1200,0,0,2754,0,3484,1248,1.08,2576,2236,01/05@01/06/10@01/07@43/01/03/06
1150,0,2483,0,3034,1295,928,0,0,2825,0,2264,1058,1.21,1739,1206,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
1104,0,2376,0,3147,1309,955,0,0,2861,0,2463,1072,1.23,1838,1391,10/01/02@10/01/03/03@10/03/01/01@16/01@16/03/01@16/19/03
1138,0,1629,0,2533,1102,784,0,0,2725,0,2305,826,0.93,1431,1479,01/03@11/04/01@11/04/03/01@16/01@16/03/03
1210,0,1618,0,3176,1182,839,0,0,2302,0,3260,975,0.83,1994,2285,34/11/03/07
1367,0,1529,0,2238,1215,867,0,0,2141,0,1969,959,1.16,1023,1010,42/04/05
1268,0,1631,0,2924,1554,1029,0,0,2596,0,2455,1226,1.41,1370,1229,10/01/03/03@10/01/03/05
1083,0,1704,0,4886,1070,812,0,0,2603,0,5736,875,0.79,3816,4861,14/04@16/02@20/01/10@20/09/07/03
1125,0,2264,0,2406,1424,1107,0,0,2767,0,2135,1157,1.43,982,978,42/01
1003,0,1861,0,3386,1092,806,0,0,2521,0,3034,1050,0.95,2294,1984,14/10@16/01@20/01/10@20/01/26@20/09/07/03@20/09/07/27@20/09/16@20/09/18@42/25
1041,0,1392,0,1782,1126,807,0,0,2189,0,1837,850,1.19,656,987,02/19@10/03/01@10/03/02@12/07@14/13/01/01@43/01/03/05@43/01/03/09
1261,0,1820,0,3168,1605,1130,0,0,2672,0,2721,1182,1.11,1563,1539,01/05/03/03/04@01/05/25@10/03/03@18/02/01/01@32/01/03@40/01@42/01@42/04@43/01/03/05
1210,0,2260,0,5405,1544,1150,0,0,2780,0,4732,1118,1.03,3861,3614,10/03/01/01/11@20/09/14@42/04/05
1023,0,1751,0,4797,1045,782,0,0,2459,0,4677,998,0.81,3752,3679,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
1122,0,2185,0,2870,1533,1142,0,0,2696,0,3828,1098,1.47,1337,2730,14/04
1024,0,1625,0,2019,1016,746,0,0,2679,0,1921,873,0.91,1003,1048,11/04/03/01@14/10
1019,0,1372,0,1718,1050,719,0,0,2159,0,1581,849,1.32,668,732,14/04@14/07/05@14/07/11/01@14/13/04@16/01/01@20/01/10@20/09/07/05@20/09/13@20/09/14@30/05/02/24/04@42/04/05@42/25
967,0,1230,0,1690,1103,750,0,0,2222,0,1614,813,1.57,587,801,99
967,0,1235,0,2765,1054,724,0,0,2270,0,2484,793,1.09,1711,1691,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
1288,0,1946,0,3789,1592,1138,0,0,2770,0,3236,1192,1.1,2197,2044,16/09@30/01/05/05/01@40/01@42/04@43/01/03/05
1047,0,2557,0,10452,1564,1228,0,0,2819,0,10364,1106,0.92,8888,9258,12/01/01@12/04@16/01
1032,0,2432,0,3692,1476,1148,0,0,2705,0,4486,1150,1.26,2216,3336,01/01/03/02/01@20/01/07@20/03@20/09/13
999,0,1655,0,7632,996,725,0,0,2602,0,9051,1074,0.69,6636,7977,12/01/01@12/04@16/01
989,0,2206,0,4005,1331,983,0,0,2640,0,4401,1128,1.16,2674,3273,11/02/03/01@11/02/03/04@32/01
1171,0,2403,0,2349,1412,1018,0,0,2636,0,2251,1054,1.32,937,1197,10/03/01/01/11@10/03/04/03
1120,0,1580,0,2281,910,638,0,0,2070,0,2573,865,1.01,1371,1708,01/01/09/06@01/05@01/07/01@01/20/17@01/20/33@16/21/05@16/21/07@20/01/15
1051,0,1201,0,3013,1097,758,0,0,2280,0,2701,872,0.9,1916,1829,20/09/07
1213,0,2098,0,2900,1456,1048,0,0,2594,0,2671,1206,1.19,1444,1465,20/01/27@32/05/05/01@32/07/05@34/11/03
969,0,1226,0,8769,1149,803,0,0,2086,0,5656,870,0.77,7620,4786,01/04@02/13/03@02/45@16/17
1343,0,1329,0,3505,1403,908,0,0,2262,0,2154,1003,1.18,2102,1151,01/03/07
936,0,1365,0,2399,1543,1162,0,0,2577,0,1675,1052,2.39,856,623,01/03@01/04@01/05/02/01@01/05/02/04@01/05/02/07@16/17/09
1091,0,2261,0,1775,1204,901,0,0,2446,0,1906,974,1.47,571,932,01/05/02/04@01/05/02/07
1229,0,2211,0,4148,1328,1041,0,0,2566,0,7905,1012,0.86,2820,6893,01/05/09/04@42/01
1304,0,1337,0,3131,1403,904,0,0,2348,0,2729,1265,1.5,1728,1464,01/05@01/06
1473,0,1903,0,14236,1493,1124,0,0,2705,0,17714,1213,0.87,12743,16501,12/01/01@12/04@16/01
1396,0,1341,0,5128,1423,921,0,0,2412,0,3443,1048,1.21,3705,2395,01/06@18/02/01@34/01/01/01
1388,0,1407,0,6474,1438,993,0,0,2383,0,5049,1078,0.98,5036,3971,01/05/03@10/03/03@32/01/03@42/01@43/01/03/05
1352,0,1661,0,3059,1265,893,0,0,2193,0,2713,986,0.92,1794,1727,02/11@02/13/03@02/45/15@16/19/03@20/01/01/01@20/01/15@20/03/22@20/09/04@34/01/01/03
1266,0,1337,0,2308,1345,888,0,0,2350,0,1909,1056,2.02,963,853,34/11/03/07@40/01@41/01/01
