@RELATION 'spo0.names'

@ATTRIBUTE t0_green_bkg                            numeric
@ATTRIBUTE t0_red_bkg                              numeric
@ATTRIBUTE t0_flag                                 numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red_bkg                        numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green_bkg                            numeric
@ATTRIBUTE t2_red_bkg                              numeric
@ATTRIBUTE t2_flag                                 numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t7_flag                                 numeric
@ATTRIBUTE t9_green_bkg                            numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t9_flag                                 numeric
@ATTRIBUTE t11Point5_green_bkg                     numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE t11Point5_red_bkg                       numeric
@ATTRIBUTE t11Point5_flag                          numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE gal_ndt80_red_bkg                       numeric
@ATTRIBUTE gal_ndt80_flag                          numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_green_bkg            numeric
@ATTRIBUTE ndt80_delete_early_red_bkg              numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green_green_bkg        numeric
@ATTRIBUTE ndt80_delete_mid_green_red_bkg          numeric
@ATTRIBUTE ndt80_delete_mid_green_flag             numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t0Point5_correlation                    numeric
@ATTRIBUTE t2_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t9_correlation                          numeric
@ATTRIBUTE t11Point5_correlation                   numeric
@ATTRIBUTE ndt80_delete_early_correlation          numeric
@ATTRIBUTE ndt80_delete_mid_correlation            numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t0Point5_g/r_ratio                      numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE failed_pcr                              {1,2,3,4,5}
@ATTRIBUTE overlaps_another_orf                    {no,yes}
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1109,575,0,1052,442,0,1385,789,0,2109,1684,0,1604,1100,0,1045,837,0,1094,3806,737,0,1294,3916,0,3012,637,466,0,1014,607,0,0.872,0.842,0.71,0.691,0.836,0.837,0.728,0.943,0.967,0.699,3.115,1.181,0.962,0.935,0.468,3.083,1.662,0.78,3.04,1.42,1.6,1.14,0.6,0.54,0.57,3.07,?,no,12/01@42/01
1171,756,0,1108,494,0,1376,759,0,4591,1943,0,1550,1063,0,1135,834,0,1028,5532,653,0,1308,3837,0,7218,623,484,0,1064,538,0,0.933,0.924,0.938,0.874,0.947,0.86,0.775,0.972,0.966,0.79,0.864,0.706,1.55,0.796,0.67,1.054,6.652,0.82,0.87,0.76,1.71,0.83,0.77,0.75,0.13,1.05,?,no,01/05@02/16/09@16/17/09@16/21/07
1224,664,0,1836,2094,0,1474,873,0,7168,2018,0,1583,1102,0,1108,766,0,1052,13272,750,0,1347,3615,0,3898,506,425,0,966,422,0,0.956,0.956,0.97,0.944,0.954,0.902,0.935,0.981,0.937,0.765,0.175,0.121,0.355,0.741,0.7,0.314,7.277,0.79,0.18,0.12,0.37,0.74,0.72,0.35,2.01,0.31,?,no,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
1118,607,0,1151,421,0,1407,798,0,2428,1742,0,968,608,1,1007,798,0,900,1011,604,0,1354,3503,0,828,581,463,0,883,424,0,0.847,0.566,0.779,0.892,0.897,0.656,0.769,0.964,0.913,0.831,0.805,0.704,1.153,0.765,0.504,0.71,0.848,1,1.31,1.1,1.19,1.03,1.11,0.98,0.98,0.8,1,no,11/02/01@11/02/02@11/02/03/01
1160,705,0,1244,479,0,1450,762,0,9145,1946,0,1420,908,0,1141,838,0,987,5495,660,0,1499,3772,0,9608,617,446,0,943,473,0,0.952,0.955,0.944,0.957,0.94,0.817,0.96,0.96,0.977,0.773,3.907,2.372,2.915,4.505,1.661,4.557,8.76,0.82,3.87,2.43,2.93,4.07,1.96,1.99,1.41,4.55,?,no,12/04/02@16/01@16/19/05@18/02/01/01/01
1305,857,0,1308,594,0,1470,855,0,13330,1937,0,1439,1022,0,1158,878,0,1186,3688,677,0,1471,3658,0,5349,654,473,0,927,512,0,0.98,0.936,0.968,0.945,0.94,0.82,0.933,0.963,0.99,0.628,1.204,2.392,2.35,3.422,2.82,0.854,0.942,0.63,1.17,2.4,2.43,3.62,3.34,4.29,1.03,0.88,?,yes,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
1179,634,0,1406,718,0,1445,826,0,3875,1613,0,1305,821,0,1170,884,0,986,2479,666,0,1009,3272,0,1120,425,331,0,872,385,0,0.937,0.958,0.918,0.943,0.938,0.881,0.932,0.981,0.975,0.945,1.018,0.869,0.931,0.865,0.93,0.945,1.116,0.94,1.08,0.96,1.02,0.91,1.1,0.82,0.33,0.96,1,no,10/03/02@42/10@43/01/03/09
1374,753,0,1120,409,0,1238,644,0,4323,1929,0,1717,1085,0,1787,1540,0,1172,994,759,0,1378,3175,0,3587,683,461,0,928,491,0,0.952,0.936,0.861,0.926,0.803,0.271,0.613,0.978,0.983,1.036,1.179,1.318,2.602,2.305,0.966,2.259,2.157,1.1,1.27,1.52,2.53,3,2.49,3.18,1.97,2.18,?,no,10/01/05/01@32/01
1255,678,0,1147,422,0,1069,581,0,2113,1572,0,1595,1042,0,1643,1646,0,1109,1164,715,0,2055,3730,0,1675,656,478,0,920,434,0,0.722,0.924,0.79,0.88,0.862,0.801,0.867,0.955,0.916,1.141,0.563,0.562,0.786,0.489,0.687,1.116,1.073,1.38,0.71,0.81,0.96,0.6,0.93,0.61,0.61,1.14,?,no,20/01/17
1021,548,0,1165,517,1,1483,851,0,3148,1676,0,1327,972,0,1102,826,0,978,4695,728,0,1601,3815,0,2547,548,444,0,925,544,0,0.924,0.9,0.944,0.916,0.928,0.907,0.975,0.951,0.984,0.733,1.082,0.924,0.599,0.486,0.306,1.03,0.84,0.8,1.16,1.09,0.66,0.53,0.36,0.33,0.94,1.03,?,no,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
1489,1066,0,1798,982,0,1822,1100,0,11598,1772,0,1486,947,0,1438,1275,0,2403,8916,1550,0,1136,3464,0,9837,483,364,0,913,439,0,0.964,0.932,0.944,0.953,0.961,0.926,0.891,0.977,0.968,0.919,2.847,2.097,1.606,2.315,2.759,3.017,2.288,0.96,3.08,2.18,1.63,2.35,2.84,2.22,3.26,3.12,?,no,12/04/01
1542,938,0,1395,566,0,1376,758,0,5273,1910,0,1687,1188,0,1697,1467,0,1108,1659,808,0,1230,3224,0,6395,635,446,0,856,410,0,0.939,0.961,0.895,0.947,0.954,0.957,0.92,0.978,0.975,0.941,2.153,1.155,1.382,1.055,1.342,3.241,2.473,0.99,2.25,1.29,1.49,1.16,1.29,1.11,1.04,3.25,?,no,01/07/04@01/20/19/01@14/07@14/10
1358,734,0,1208,445,0,1132,549,0,2799,1636,0,1472,933,0,1722,1348,0,1104,962,724,0,1501,3570,0,2983,660,475,0,941,450,0,0.959,0.952,0.8,0.937,0.936,0.398,0.738,0.975,0.925,1.003,0.746,0.658,1.53,1.677,0.296,1.169,1.716,1,0.81,0.86,1.43,1.77,0.86,1.51,1.08,1.16,?,no,16/01@20/09/07/03
1591,961,0,1436,626,0,1658,1020,0,5207,2246,0,1716,1279,0,1557,1355,0,1508,2488,1178,0,1259,3240,0,3617,620,470,0,875,426,0,0.884,0.947,0.847,0.961,0.926,0.95,0.919,0.969,0.98,0.954,0.971,0.827,1.023,0.533,0.464,0.94,0.83,1.01,1.02,0.97,1.03,0.56,0.52,0.61,0.83,0.96,?,no,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
1509,910,0,1525,719,0,1318,769,0,2672,1957,0,1900,1301,0,1681,1319,0,1264,1217,940,0,1147,3113,0,1679,592,413,0,864,440,0,0.771,0.94,0.79,0.792,0.907,0.797,0.644,0.969,0.983,0.931,1.053,0.448,0.452,0.829,0.637,0.483,0.615,1.13,1.25,0.69,0.6,0.94,0.8,1.07,1.15,0.5,?,no,10/03/01/01/11@10/03/04/09@42/04/05
1292,871,0,1307,758,0,1326,743,0,7600,1646,0,1569,1161,0,1253,986,0,1298,17168,1015,0,1489,3668,0,3934,625,575,0,993,584,0,0.96,0.971,0.968,0.948,0.961,0.88,0.95,0.969,0.984,0.651,0.186,0.256,0.29,0.362,0.839,0.145,0.248,0.68,0.18,0.26,0.31,0.36,0.94,1.08,0.51,0.15,?,no,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
1448,816,0,1502,668,0,1237,656,0,2362,1688,0,1595,1331,0,1752,2056,0,1189,3258,775,0,1881,3913,0,1788,686,489,0,1094,581,0,0.866,0.903,0.795,0.887,0.942,-0.267,0.905,0.954,0.945,0.923,0.075,0.491,0.263,0.089,-0.061,0.99,0.506,1.09,0.1,0.66,0.34,0.09,0.3,0.13,0.09,1,?,no,20/01/01/01@20/01/01/07@20/01/25@20/03
1214,734,0,1727,920,0,1288,591,0,8634,1606,0,1704,1111,0,1288,946,0,1225,4618,765,0,1256,3750,0,11940,812,465,0,1103,484,0,0.944,0.905,0.957,0.918,0.89,0.943,0.971,0.894,0.938,0.868,2.993,2.724,2.56,2.808,3.45,3.893,5.917,0.9,3.23,2.59,2.57,3.3,3.43,3.69,0.77,4.26,?,no,01/03/01
1212,692,0,1442,688,0,1384,704,1,5250,1892,0,1628,1109,0,1183,806,0,1309,3523,1008,0,1337,3440,0,4896,658,491,0,1007,503,0,0.93,0.949,0.938,0.913,0.934,0.918,0.941,0.921,0.956,0.802,1.051,2.467,1.18,1.104,1.239,0.92,0.757,0.89,1.05,1.75,1.23,1.11,1.32,1.89,1.08,1.04,?,no,01/04@10/03/01@10/03/03@14/07/03
1298,634,0,1154,407,0,1172,571,0,3324,1672,0,1639,1129,0,1755,1561,0,1151,1458,807,0,1441,3267,0,2669,607,433,0,990,460,0,0.903,0.935,0.918,0.937,0.903,0.865,0.907,0.969,0.923,0.982,1.077,1.073,0.893,0.866,0.777,0.452,0.901,1.1,1.16,1.15,0.94,0.89,0.95,0.98,1.07,0.63,?,yes,01/06/06/11@10/01/09/05
1159,769,0,1217,507,0,1487,964,0,4860,1705,0,1849,1553,0,1353,1109,0,1198,5672,797,0,1627,4047,0,3325,704,524,0,1134,598,0,0.891,0.915,0.92,0.931,0.965,0.937,0.955,0.932,0.941,0.648,2.426,0.698,0.971,1.061,1.58,0.428,1.629,0.78,2.4,0.75,1.03,1.13,1.63,2.37,1.33,0.46,?,no,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
1214,674,0,1153,462,0,1144,575,0,2955,1305,0,1662,1214,0,1613,1432,0,1038,1836,629,0,1727,3576,0,1963,662,562,0,820,491,0,0.912,0.936,0.943,0.978,0.966,0.92,0.964,0.918,0.921,0.932,0.452,0.733,0.523,0.531,0.729,0.338,0.332,0.93,0.48,0.77,0.51,0.55,0.75,1.03,1.65,0.39,?,yes,01/06/02/01@20/03
1214,638,0,1113,450,0,1195,610,0,1873,1427,0,1571,1217,0,1547,1346,0,1063,1041,640,0,1572,3424,0,1257,713,516,0,838,525,0,0.499,0.943,0.906,0.91,0.827,0.697,0.845,0.939,0.896,0.593,0.528,0.397,0.393,0.422,0.543,0.247,0.227,1.05,0.62,0.5,0.42,0.43,0.7,0.97,1.77,0.3,?,no,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
1250,644,0,1124,420,0,1138,605,1,3456,1843,1,2078,1414,1,1659,1376,0,1086,1596,708,0,1251,3138,0,2248,628,465,0,912,454,0,0.934,0.937,0.943,0.891,0.888,0.766,0.859,0.969,0.963,0.905,0.846,0.772,0.603,0.608,0.738,0.483,0.344,1.02,0.88,0.88,0.66,0.71,0.9,0.98,1.89,0.49,?,no,11/02/01@11/02/03/01
1193,703,0,1157,469,0,1416,827,0,5549,1621,0,1886,1565,0,1168,952,0,1128,18674,916,0,1533,3851,0,12382,693,542,0,1095,636,0,0.921,0.955,0.933,0.932,0.927,0.933,0.962,0.925,0.962,0.619,0.55,0.336,0.285,0.303,0.589,0.647,1.39,0.68,0.55,0.35,0.3,0.32,0.61,0.8,0.8,0.68,?,no,01/05@01/06/10@01/07@43/01/03/06
