@RELATION 'church0.names'

@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.1,3.67,0.1,0.1,1.22,0,0,0.97,0.02,0,3.3,0.18,0,0,30/05@34/11/03/07
0.1,0.51,0.1,0.1,0.67,0,0,0.19,0.09,0,2.7,0.02,0,0,11/02/03/01@11/02/03/04@18/02/09@34/11/03/07@41/01/01
0.1,0.37,0.1,0.1,0.63,0,0,0.16,0.09,0,2.5,0.02,0,0,99
0.4,1.74,0.3,0.2,0.48,0,0,0.65,0.13,0,1.2,0.17,0,0,16/01@34/11/03/07@41/01/01
0.44,1.09,0.48,0.69,0.38,0.14,0.15,0.68,0.16,0.9,1.7,0.17,0.88,0,01/03/04@01/04/04
1.03,1.98,2.78,1.45,0.35,0.33,0.04,1.81,0.19,1.7,1.6,0.3,0.13,0,12/01/01@16/01
4.86,9.72,0.89,5.39,0.32,-0.73,0.03,5.22,0.14,5.2,1.1,0.16,0.19,0,11/04/01@11/04/03/01/10@12/01/01@12/04@12/07@16/01
0.97,2.84,0.88,1.24,0.32,-0.14,-0.1,1.48,0.28,0.5,1.2,0.25,0.4,0,12/01/01@12/04@16/01@16/03/03
0.21,0.48,0.3,0.44,0.31,0,0.25,0.36,0.17,0,1.8,0.08,3.13,0,99
2.34,4.11,5.06,1.76,0.28,0.24,-0.25,3.32,0.18,1.3,1.3,0.28,0.89,0,12/01/01@12/04@16/01
0.65,1.53,0.63,1.57,0.28,0,0.23,1.1,0.15,0,1.4,0.2,1.15,0,01/06/06/11@16/17/09
0.19,0.54,0.56,0.6,0.26,0.42,0.39,0.47,0.3,1.4,0.9,0.33,1.18,0,14/07/11@14/13/01/01@16/01@18/01/07@18/02/01@32/01
4.77,8.84,5.2,3.77,0.26,0.11,-0.09,5.65,0.13,0.8,2,0.23,0.39,0,12/01/01@12/04@16/01@16/03/03
0.77,1.74,1.09,1.29,0.25,0.14,0.06,1.22,0.21,0.7,0.9,0.22,0.27,0,01/05/25@16/03/01@30/01@32/01/09@40/10/02/01@42/10/03
1.16,2.37,0.72,2.02,0.24,-0.23,0.17,1.57,0.16,1.4,1,0.17,1,0,01/03/16/01@10/01/09/05@10/03/01@11/04/01@14/04@16/01@16/19/05@20/01/10@20/01/21@20/09/01@30/01/05/05/01@42/10
0.48,0.86,0.68,0.6,0.23,0.14,-0.04,0.66,0.17,0.8,1.6,0.17,0.24,0,14/04@20/01/10@20/09/07/03@30/01/05/01/04
2.22,5.11,5.37,2.57,0.22,0.14,0.01,3.82,0.25,0.6,1.2,0.15,0.07,0,12/01/01@12/04@16/01
0.4,1.25,1.27,0.4,0.22,0.24,0,0.82,0.32,0.8,0.9,0.17,0,0,01/05/02/04@01/20/01/01@16/21/07
1.82,3.53,1.68,1.83,0.21,0.03,0.07,2.22,0.22,0.1,1.2,0.15,0.47,0,12/01/01@12/04@16/01
0.54,0.64,0.51,1.2,0.21,0.01,0.43,0.72,0.09,0.1,0.9,0.11,3.91,0,10/03/01@10/03/05/01@16/01@42/04/05
0.1,0.21,0.16,0.11,0.21,0.1,-0.02,0.15,0.23,0.4,1,0.33,0.06,0,01/03/16/01@10/03/01@11/04/01
0.42,0.76,0.87,0.66,0.21,0.22,0.11,0.68,0.19,1.2,1.1,0.11,1,0,10/01/09/05@11/02/01@11/04/01@11/06/01@16/01@16/03/03@42/10/03@42/10/07
1.45,3.12,2.91,2.15,0.2,0.23,0.01,2.41,0.08,2.9,2.9,0.11,0.09,0,12/01/01@12/04@16/01
8.69,15.9,13.1,7.97,0.2,0.05,-0.14,11.42,0.12,0.4,1.3,0.2,0.7,0,12/01/01@12/04@16/01
1.04,1.8,0.83,1.68,0.19,-0.18,0.14,1.34,0.11,1.6,1.7,0.1,1.4,0,01/04@12/04/01@12/04/02@16/19/03@42/01
1.89,1.66,1.81,2.69,0.18,0.14,0.29,2.01,0.18,0.8,1.1,0.24,1.21,0,01/05@42/01
1.14,2.89,1.57,3.83,0.18,-0.03,0.3,2.36,0.2,0.2,1.2,0.22,1.36,0,10/03/03@10/03/05/03@14/10@16/01@20/09/14/02@20/09/18@34/05/01@40/01@40/10/02/03@42/01@42/04/03@43/01/03/05
4.08,7.94,3.51,3.94,0.18,-0.24,-0.1,4.87,0.1,2.4,1.4,0.13,0.77,0,12/01/01@12/04@14/07/05@14/13/01/01@16/01@16/17/09
7,11.3,9.27,5.75,0.18,0.15,-0.08,8.32,0.15,1,3,0.09,0.89,0,12/01/01
6.83,6.49,7.25,4.63,0.17,0.05,-0.09,6.3,0.14,0.4,1.1,0.18,0.5,0,02/11@02/45/15@16/17@20/01/01/01@20/01/15@20/03/01/01@20/03/22@20/09/13@34/01/01/03@34/11/03/13
2.45,3.98,4.11,3.06,0.17,0.12,0.02,3.4,0.19,0.6,0.9,0.28,0.07,0,01/01/11/02/01@01/03/01@11/02/03/04@32/01/05@34/11/03/07@42/16
2.86,8.27,4.07,5.08,0.17,-0.12,-0.09,5.07,0.21,0.6,1.1,0.15,0.6,0,12/01/01@12/04@16/01
1.57,2.13,2.34,2.31,0.17,0.15,0.19,2.09,0.09,1.7,1.9,0.1,1.9,0,01/05/03@10/03/01@10/03/03@40/01
0.32,0.48,0.66,0.47,0.17,0.34,0.23,0.48,0.11,3.1,1.5,0.12,1.92,0,01/07/01
0.41,1.08,0.46,0.64,0.16,0,-0.09,0.65,0.05,0,1.1,0.09,1,0,11/02/03/01@11/02/03/04
1.48,1.54,2.52,1.93,0.16,0.27,0.22,1.87,0.1,2.7,1.1,0.15,1.47,0,12/01/01@12/04@16/01@16/03/03
0.18,0.28,0.12,0.44,0.16,-0.22,0.2,0.26,0.14,1.6,0.8,0.14,1.43,0,16/01@34/11/03/07@41/01/01
0.47,0.68,0.7,0.86,0.16,0.13,0.21,0.68,0.11,1.2,1.3,0.1,2.1,0,14/07/11@14/13/01/01@16/01@32/01
5.12,7.72,8.36,5.04,0.15,0.21,-0.01,6.56,0.08,2.6,2.1,0.11,0.09,0,12/01/01@12/04@16/01@16/03/03@16/17/09
2.25,3.36,1.27,2.04,0.15,-0.19,-0.05,2.23,0.13,1.5,1.4,0.17,0.29,0,12/01/01@12/04@14/10@16/01@43/01/03/05
4.37,6.39,3.19,3.25,0.15,-0.26,-0.1,4.3,0.14,1.9,1.3,0.14,0.71,0,12/01/01@16/03/03
0.42,0.43,0.49,0.7,0.15,0.17,0.37,0.51,0.16,1.1,1.3,0.13,2.85,0,99
0.29,0.4,0.33,0.49,0.15,0.1,0.22,0.38,0.23,0.4,1.4,0.15,1.47,0,12/04/01
0.84,2.28,0.97,1.38,0.14,-0.06,-0.02,1.37,0.09,0.7,0.7,0.25,0.08,0,12/01/01@12/04@16/01
1.65,2.6,2.59,2.87,0.14,0.13,0.24,2.43,0.11,1.2,1.2,0.14,1.71,0,14/13/01@14/13/04/02
0.48,0.67,0.62,0.73,0.14,0.03,-0.02,0.63,0.33,0.1,0.6,0.26,0.08,0,16/17/09@20/01/01/01/01/01@20/01/03@20/09/04@34/01/01/01
1.35,2.2,0.73,1.46,0.13,0.14,-0.03,1.44,0.18,0.8,0.7,0.19,0.16,0,12/01/01@12/04@16/01@16/03/03
0.1,0.16,0.1,0.08,0.13,0,0,0.11,0.19,0,0.7,0.24,0,0,11/02/01@11/04/01@11/06/01@12/01@16/01@16/03/03
4.35,9.95,7.86,6.05,0.13,0.07,0,7.05,0.12,0.6,1.1,0.09,0,0,10/03@12/01@14/01@14/04@14/07/09@16/01@30/01/09/03@30/05@32/01/03@34/01/01/01
0.45,0.74,0.57,0.93,0.13,0.07,0.17,0.67,0.08,0.9,1,0.14,1.21,0,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07
1.27,1.24,1.21,0.99,0.13,0.18,0.05,1.18,0.13,1.4,0.5,0.12,0.42,0,10/03/01@12/04/01@12/07@16/01@16/03/03@43/01/03/09
1.16,1.62,1.59,0.81,0.13,0.11,-0.07,1.3,0.12,0.9,1.9,0.16,0.44,0,32/01@42/01
0.65,0.75,0.74,0.58,0.13,0.08,-0.09,0.68,0.09,0.9,1,0.15,0.6,0,12/04@12/07
0.28,0.5,0.55,0.36,0.12,0.18,0,0.42,0.11,1.6,2.4,0.1,0,0,10/01/05@14/07/05@14/07/07@14/10@16/01@20/09/01
0.88,1.37,1.32,1.06,0.12,0,0.03,1.16,0.06,0,1.1,0.11,0.27,0,14/01@16/01@32/01/07
0.39,0.61,0.66,0.98,0.12,0.14,0.27,0.66,0.19,0.7,0.7,0.16,1.69,0,14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
1.33,2.24,0.68,1.53,0.12,-0.23,0.02,1.45,0.16,1.4,1.2,0.12,0.17,0,01/05@01/06/05@20/09/07/06@20/09/13@34/11/03/07@40/01@43/01/03/05@43/01/03/09
