@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1894,1578,1784,1991,837,2752,3012,0.872,0.836,0.699,3.115,1.181,0.468,0.539,3.083,1.662,1.42,1.6,0.6,3.07,12/01@42/01
5208,5664,3492,5570,834,4696,7218,0.933,0.947,0.79,0.864,0.706,0.67,0.715,1.054,6.652,0.76,1.71,0.77,1.05,01/05@02/16/09@16/17/09@16/21/07
8258,9527,4015,6807,766,5531,3898,0.956,0.954,0.765,0.175,0.121,0.7,0.366,0.314,7.277,0.12,0.37,0.72,0.31,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
1530,1018,1818,1285,798,1299,828,0.847,0.897,0.831,0.805,0.704,0.504,0.62,0.71,0.848,1.1,1.19,1.11,0.8,11/02/01@11/02/02@11/02/03/01
6897,7621,6281,6881,838,10643,9608,0.952,0.94,0.773,3.907,2.372,1.661,1.782,4.557,8.76,2.43,2.93,1.96,4.55,12/04/02@16/01@16/19/05@18/02/01/01/01
9570,13796,9246,8868,878,14105,5349,0.98,0.94,0.628,1.204,2.392,2.82,3.77,0.854,0.942,2.4,2.43,3.34,0.88,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
2067,1572,2600,2160,884,2483,1120,0.937,0.938,0.945,1.018,0.869,0.93,0.762,0.945,1.116,0.96,1.02,1.1,0.96,10/03/02@42/10@43/01/03/09
3010,2236,2646,2790,1540,1920,3587,0.952,0.803,1.036,1.179,1.318,0.966,1.915,2.259,2.157,1.52,2.53,2.49,2.18,10/01/05/01@32/01
1739,1027,1531,2267,1646,1383,1675,0.722,0.862,1.141,0.563,0.562,0.687,0.456,1.116,1.073,0.81,0.96,0.93,1.14,20/01/17
2428,2296,2471,1855,826,2296,2547,0.924,0.928,0.733,1.082,0.924,0.306,0.321,1.03,0.84,1.09,0.66,0.36,1.03,01/04@01/06/06/11@11/04/01@16/17/07@16/19/03@20/01/01/01@20/01/10@20/01/13@20/03/22@20/09/07/06
9575,9427,6818,10706,1275,18770,9837,0.964,0.961,0.919,2.847,2.097,2.759,1.989,3.017,2.288,2.18,1.63,2.84,3.12,12/04/01
4266,3671,3180,3562,1467,2061,6395,0.939,0.954,0.941,2.153,1.155,1.342,0.952,3.241,2.473,1.29,1.49,1.29,3.25,01/07/04@01/20/19/01@14/07@14/10
3072,2444,2022,2247,1348,1464,2983,0.959,0.936,1.003,0.746,0.658,0.296,1.191,1.169,1.716,0.86,1.43,0.86,1.16,16/01@20/09/07/03
3072,2425,3078,2878,1355,2318,3617,0.884,0.926,0.954,0.971,0.827,0.464,0.579,0.94,0.83,0.97,1.03,0.52,0.96,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
2146,1471,1902,2229,1319,1562,1679,0.771,0.907,0.931,1.053,0.448,0.637,0.636,0.483,0.615,0.69,0.6,0.8,0.5,10/03/01/01/11@10/03/04/09@42/04/05
12911,17750,5821,12304,986,18776,3934,0.96,0.961,0.651,0.186,0.256,0.839,1.014,0.145,0.248,0.26,0.31,0.94,0.15,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
2058,1374,1787,2374,2056,1518,1788,0.866,0.942,0.923,0.075,0.491,-0.061,0.099,0.99,0.506,0.66,0.34,0.3,1,20/01/01/01@20/01/01/07@20/01/25@20/03
6696,6814,5980,7237,946,15461,11940,0.944,0.89,0.868,2.993,2.724,3.45,3.634,3.893,5.917,2.59,2.57,3.43,4.26,01/03/01
3596,3361,4098,3549,806,6066,4896,0.93,0.934,0.802,1.051,2.467,1.239,1.766,0.92,0.757,1.75,1.23,1.32,1.04,01/04@10/03/01@10/03/03@14/07/03
2936,2116,2034,2643,1561,1793,2669,0.903,0.903,0.982,1.077,1.073,0.777,0.894,0.452,0.901,1.15,0.94,0.95,0.63,01/06/06/11@10/01/09/05
5945,6866,4792,8509,1109,12784,3325,0.891,0.965,0.648,2.426,0.698,1.58,2.17,0.428,1.629,0.75,1.03,1.63,0.46,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
2123,1648,2920,2414,1432,2293,1963,0.912,0.966,0.932,0.452,0.733,0.729,1.028,0.338,0.332,0.77,0.51,0.75,0.39,01/06/02/01@20/03
1535,943,1593,1913,1346,1455,1257,0.499,0.827,0.593,0.528,0.397,0.543,0.901,0.247,0.227,0.5,0.42,0.7,0.3,01/01/06/05@01/05/13/03@11/06/02@12/04/01@12/10
2748,2103,2309,2413,1376,1960,2248,0.934,0.888,0.905,0.846,0.772,0.738,0.851,0.483,0.344,0.88,0.66,0.9,0.49,11/02/01@11/02/03/01
8832,11906,5616,10049,952,15450,12382,0.921,0.927,0.619,0.55,0.336,0.589,0.768,0.647,1.39,0.35,0.3,0.61,0.68,01/05@01/06/10@01/07@43/01/03/06
1777,1468,1765,1941,916,2330,2207,0.889,0.826,0.694,0.919,0.495,0.263,0.331,0.642,0.396,0.66,0.78,0.31,0.65,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
2409,2105,2337,2795,834,4020,2454,0.929,0.943,0.798,0.463,0.576,1.39,1.618,0.312,0.359,0.66,0.86,1.5,0.34,10/01/02@10/01/03/03@10/03/01/01@16/01@16/03/01@16/19/03
2495,2233,2136,2020,728,3141,1074,0.928,0.924,0.783,1.371,0.845,0.4,0.493,1.002,0.852,0.93,1.08,0.44,1.07,01/03@11/04/01@11/04/03/01@16/01@16/03/03
2916,2564,2159,2357,1382,1965,2033,0.895,0.926,0.773,2.146,1.178,0.886,1.072,1.899,0.703,1.25,1.02,1.04,2.19,34/11/03/07
2447,1711,2422,2489,1363,2198,2051,0.903,0.931,1.018,1.009,0.628,0.545,0.877,0.338,0.347,0.65,0.47,0.62,0.35,42/04/05
1924,1359,2024,2183,1500,1736,1627,0.82,0.97,0.815,0.654,0.418,0.513,0.671,0.181,0.218,0.49,0.46,0.66,0.2,10/01/03/03@10/01/03/05
3289,3011,2478,2618,931,5338,1702,0.949,0.911,0.859,1.266,0.667,0.975,1.248,0.536,0.514,0.69,0.93,1.01,0.6,14/04@16/02@20/01/10@20/09/07/03
2405,2131,2774,2306,912,3450,3831,0.894,0.831,0.767,0.147,0.303,0.394,0.462,0.726,0.584,0.33,0.46,0.41,0.71,42/01
4178,4394,3362,3496,901,5600,939,0.952,0.885,0.736,1.119,0.941,0.506,0.528,0.882,0.96,0.97,0.94,0.51,1.04,14/10@16/01@20/01/10@20/01/26@20/09/07/03@20/09/07/27@20/09/16@20/09/18@42/25
4801,4485,4265,3918,1347,2853,3232,0.955,0.948,0.875,0.742,1.078,1.858,1.696,0.668,0.446,1.14,1.28,1.74,0.67,02/19@10/03/01@10/03/02@12/07@14/13/01/01@43/01/03/05@43/01/03/09
4484,3746,5274,2804,1488,3922,5459,0.871,0.962,0.934,0.892,1.621,1.437,2.682,1.65,1.163,1.67,1.64,1.96,1.69,01/05/03/03/04@01/05/25@10/03/03@18/02/01/01@32/01/03@40/01@42/01@42/04@43/01/03/05
2355,2067,2325,1926,933,3235,2191,0.944,0.878,0.748,0.669,0.559,0.241,0.355,0.215,0.198,0.66,0.57,0.28,0.22,10/03/01/01/11@20/09/14@42/04/05
4343,4322,3224,3864,952,7984,1624,0.946,0.871,0.823,2.03,1.824,1.494,1.341,3.808,4.234,1.87,1.69,1.6,3.87,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
2075,1670,1863,2031,924,2796,2625,0.924,0.872,0.834,0.918,0.738,0.836,1.017,0.591,0.56,0.91,0.76,0.93,0.59,14/04
1589,1147,1753,1661,938,1694,671,0.846,0.744,0.787,1.784,1.301,1.574,1.647,1.815,2.781,1.41,1.73,1.53,1.49,11/04/03/01@14/10
6905,5962,4824,4601,1764,2948,2560,0.956,0.921,1.031,0.514,0.438,0.148,0.128,0.316,0.243,0.46,0.36,0.16,0.32,14/04@14/07/05@14/07/11/01@14/13/04@16/01/01@20/01/10@20/09/07/05@20/09/13@20/09/14@30/05/02/24/04@42/04/05@42/25
1932,1382,1858,2128,1473,1408,1165,0.863,0.803,0.769,0.737,0.632,0.549,0.644,0.619,0.601,0.78,0.84,0.86,0.68,99
2996,2233,2488,2815,1869,1780,2887,0.926,0.919,1.019,1.01,1.107,0.077,0.099,0.605,0.657,1.14,0.6,0.1,0.64,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
2104,1368,1780,2855,1671,2518,1324,0.819,0.897,1.114,1.25,1.138,0.731,0.576,1.083,0.901,1.27,1.24,0.94,1.03,16/09@30/01/05/05/01@40/01@42/04@43/01/03/05
