@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
B,21,0.1,3.67,0.1,0.1,1.22,0.0,0.0,0.97,0.02,0.0,0,0.37,3.3,1,0.18,0.0,0,1,?,1,1,5,2,5,0,GO0000750@GO0000772@GO0005576@GO0007618@GO1903135
A,20,0.1,0.51,0.1,0.1,0.67,0.0,0.0,0.19,0.09,0.0,0,0.25,2.7,1,0.02,0.0,0,1,?,1,1,5,2,5,0,GO0003713@GO0005634@GO0006351@GO0006357@GO0007532@GO0008301@GO0045895
A,20,0.1,0.37,0.1,0.1,0.63,0.0,0.0,0.16,0.09,0.0,0,0.25,2.5,1,0.02,0.0,0,1,?,1,1,5,2,5,0,GO0003713@GO0005634@GO0006351@GO0006357@GO0007532@GO0008301@GO0045895
C,21,0.4,1.74,0.3,0.2,0.48,0.0,0.0,0.65,0.13,0.0,0,0.41,1.2,1,0.17,0.0,0,1,?,1,1,5,?,5,0,GO0000752@GO0005576@GO0009277@GO0031225@GO0050839
B,21,0.44,1.09,0.48,0.69,0.38,0.14,0.15,0.68,0.16,0.9,0,0.23,1.7,1,0.17,0.88,0,?,?,?,?,?,?,?,0,GO0004845@GO0004849@GO0005525@GO0005622@GO0005829@GO0006206@GO0008655@GO0043097@GO0044206
B,20,1.03,1.98,2.78,1.45,0.35,0.33,0.04,1.81,0.19,1.7,1,0.22,1.6,1,0.3,0.13,0,?,?,?,?,?,?,?,0,GO0002181@GO0003735@GO0022625@GO0046898
B,21,4.86,9.72,0.89,5.39,0.32,-0.73,0.03,5.22,0.14,5.2,1,0.29,1.1,1,0.16,0.19,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0005737@GO0006364@GO0022625@GO0030627@GO0048025
C,21,0.97,2.84,0.88,1.24,0.32,-0.14,-0.1,1.48,0.28,0.5,0,0.26,1.2,1,0.25,0.4,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0022625
B,20,0.21,0.48,0.3,0.44,0.31,0.0,0.25,0.36,0.17,0.0,0,0.17,1.8,1,0.08,3.13,1,?,?,?,?,5,2,2,0,GO0000028@GO0003723@GO0005634@GO0005635@GO0005730@GO0006364@GO0008139@GO0043047
B,20,2.34,4.11,5.06,1.76,0.28,0.24,-0.25,3.32,0.18,1.3,1,0.22,1.3,1,0.28,0.89,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0006412@GO0022625@GO0042254
